Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,22,7.0,115,16.43,81,10,9,7,5,3,9,1.29,5,0,0,1,3,0
Athletic Club,24,7.0,157,22.43,111,15,7,12,7,5,11,1.57,4,1,1,1,2,2
Atlético Madrid,21,7.0,175,25.0,128,13,14,8,9,3,24,3.43,14,1,2,4,3,0
Barcelona,24,7.0,270,38.57,206,18,18,16,9,3,36,5.14,28,4,1,2,1,0
Betis,25,7.0,187,26.71,148,10,15,6,2,6,18,2.57,14,1,1,2,0,0
Celta Vigo,23,7.0,146,20.86,116,13,5,7,2,3,11,1.57,5,1,0,3,1,1
Elche,25,7.0,129,18.43,93,12,11,6,5,2,15,2.14,8,2,3,1,1,0
Espanyol,22,7.0,159,22.71,112,18,8,9,12,0,20,2.86,14,3,0,0,3,0
Getafe,23,8.0,120,15.0,73,21,9,11,5,1,17,2.12,9,2,3,2,1,0
Girona,27,7.0,121,17.29,87,10,9,10,5,0,5,0.71,4,0,1,0,0,0
Levante,24,7.0,112,16.0,80,10,6,8,6,2,18,2.57,10,0,3,3,1,1
Mallorca,24,7.0,129,18.43,88,17,7,8,8,1,11,1.57,7,1,0,1,2,0
Osasuna,20,8.0,125,15.62,95,14,6,4,5,1,12,1.5,11,1,0,0,0,0
Oviedo,26,7.0,90,12.86,67,8,6,1,4,4,6,0.86,3,1,1,0,0,1
Rayo Vallecano,23,7.0,156,22.29,118,15,3,9,6,5,11,1.57,6,1,1,1,1,1
Real Madrid,22,7.0,226,32.29,172,10,17,14,9,4,29,4.14,22,0,3,0,2,2
Real Sociedad,25,7.0,185,26.43,139,21,6,11,4,4,13,1.86,11,0,1,1,0,0
Sevilla,28,7.0,128,18.29,102,9,6,5,6,0,16,2.29,14,0,2,0,0,0
Valencia,20,7.0,108,15.43,80,11,4,10,2,1,17,2.43,14,3,0,0,0,0
Villarreal,24,7.0,199,28.43,147,16,12,12,10,2,20,2.86,15,0,2,3,0,0
