Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,22,7.0,21,0,0,104,113,17,133,55,77,0,2,1,297,137,152,47.4
vs Athletic Club,24,7.0,15,0,0,96,86,31,89,83,79,0,2,1,329,87,85,50.6
vs Atlético Madrid,21,7.0,21,0,0,86,77,3,110,56,64,1,2,0,251,104,90,53.6
vs Barcelona,24,7.0,19,2,1,80,60,32,72,45,77,0,1,1,240,56,96,36.8
vs Betis,25,7.0,20,1,0,103,60,21,127,66,76,0,0,1,331,85,96,47.0
vs Celta Vigo,23,7.0,16,0,0,77,82,10,112,61,76,0,1,0,300,49,49,50.0
vs Elche,25,7.0,14,0,0,124,86,9,122,43,75,0,1,0,310,92,57,61.7
vs Espanyol,22,7.0,15,0,0,85,87,10,129,47,54,1,2,0,277,127,96,57.0
vs Getafe,23,8.0,21,1,0,117,111,21,134,37,85,0,0,0,308,149,102,59.4
vs Girona,27,7.0,7,0,0,93,64,6,136,46,73,2,0,0,270,86,62,58.1
vs Levante,24,7.0,13,2,1,83,101,6,176,50,59,1,1,0,267,93,91,50.5
vs Mallorca,24,7.0,13,2,0,87,78,12,121,39,61,1,1,0,268,90,101,47.1
vs Osasuna,20,8.0,14,1,0,86,94,14,161,51,65,1,1,0,347,88,157,35.9
vs Oviedo,26,7.0,8,0,0,76,78,7,145,62,76,1,1,0,292,71,84,45.8
vs Rayo Vallecano,23,7.0,10,1,0,73,79,7,99,57,59,2,1,0,304,90,62,59.2
vs Real Madrid,22,7.0,10,1,0,98,64,4,122,54,69,1,2,0,252,65,78,45.5
vs Real Sociedad,25,7.0,12,1,0,65,106,9,91,55,64,1,1,0,253,100,94,51.5
vs Sevilla,28,7.0,12,1,0,101,105,9,129,42,76,2,0,1,292,73,106,40.8
vs Valencia,20,7.0,10,2,1,68,74,23,131,52,66,0,1,0,282,92,85,52.0
vs Villarreal,24,7.0,12,2,2,79,71,3,101,49,68,1,0,0,246,73,64,53.3
