Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,22,7.0,3150,2765,368,134,5,35,133,143,28,13,9,0,2422,17,63
vs Athletic Club,24,7.0,3120,2770,319,93,12,30,89,127,29,9,14,0,2422,31,57
vs Atlético Madrid,21,7.0,3129,2827,299,91,6,21,110,103,18,5,5,1,2543,3,50
vs Barcelona,24,7.0,1976,1624,320,76,10,15,72,126,25,10,12,2,1346,32,55
vs Betis,25,7.0,3645,3324,300,75,10,14,127,118,37,12,19,0,2991,21,59
vs Celta Vigo,23,7.0,3454,3135,309,96,7,16,112,110,30,12,7,0,2883,10,57
vs Elche,25,7.0,2918,2605,304,95,12,12,122,124,24,7,13,0,2336,9,44
vs Espanyol,22,7.0,4028,3704,314,98,11,33,129,113,36,16,15,0,3418,10,54
vs Getafe,23,8.0,4103,3630,452,134,23,26,134,216,38,15,14,0,3240,21,91
vs Girona,27,7.0,3770,3480,284,72,17,17,136,125,41,18,9,0,3220,6,47
vs Levante,24,7.0,4010,3636,368,116,7,31,176,136,55,18,14,0,3364,6,66
vs Mallorca,24,7.0,3750,3428,310,87,7,26,121,124,42,13,10,0,3133,12,70
vs Osasuna,20,8.0,4320,3932,374,109,9,23,161,150,40,12,16,0,3557,14,64
vs Oviedo,26,7.0,4481,4145,329,96,9,27,145,144,50,31,6,0,3885,7,56
vs Rayo Vallecano,23,7.0,2990,2634,349,97,11,27,99,139,31,11,14,0,2318,7,70
vs Real Madrid,22,7.0,2815,2521,290,76,5,21,122,95,29,17,7,0,2260,4,52
vs Real Sociedad,25,7.0,3215,2854,352,115,9,34,91,125,32,14,9,0,2593,9,44
vs Sevilla,28,7.0,2911,2514,388,124,3,10,129,155,45,16,17,0,2233,9,65
vs Valencia,20,7.0,3442,3108,311,83,13,24,131,139,39,20,8,0,2807,23,39
vs Villarreal,24,7.0,3787,3464,320,89,10,34,101,116,19,10,3,0,3232,3,58
