Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Alavés,22,7.0,2422,3150,76.9,44868,16975,1092,1278,85.4,933,1113,83.8,331,577,57.4,3,3.6,4.9,-0.6,50,201,55,19,230
vs Athletic Club,24,7.0,2422,3120,77.6,42801,14868,1113,1250,89.0,1003,1199,83.7,242,490,49.4,6,4.9,3.9,1.1,42,140,28,8,177
vs Atlético Madrid,21,7.0,2543,3129,81.3,44662,16112,1190,1331,89.4,1051,1185,88.7,244,468,52.1,8,4.8,4.3,3.2,39,211,28,14,227
vs Barcelona,24,7.0,1346,1976,68.1,25564,11523,590,690,85.5,519,657,79.0,201,480,41.9,3,4.8,3.8,-1.8,31,96,24,7,118
vs Betis,25,7.0,2991,3645,82.1,49277,18798,1519,1681,90.4,1203,1385,86.9,213,418,51.0,4,5.0,5.3,-1.0,57,261,54,12,290
vs Celta Vigo,23,7.0,2883,3454,83.5,50065,17443,1356,1463,92.7,1204,1336,90.1,266,503,52.9,7,6.5,7.8,0.5,66,264,46,9,231
vs Elche,25,7.0,2336,2918,80.1,41047,15347,1040,1155,90.0,1003,1150,87.2,218,444,49.1,6,5.6,4.8,0.4,55,222,48,16,237
vs Espanyol,22,7.0,3418,4028,84.9,60340,20323,1534,1667,92.0,1514,1690,89.6,315,513,61.4,6,6.3,9.0,-0.3,75,278,61,17,332
vs Getafe,23,8.0,3240,4103,79.0,58250,19747,1402,1596,87.8,1486,1708,87.0,294,596,49.3,9,5.8,6.2,3.2,60,259,41,16,276
vs Girona,27,7.0,3220,3770,85.4,57600,18898,1380,1503,91.8,1515,1679,90.2,281,463,60.7,9,10.0,10.4,-1.0,89,279,78,29,334
vs Levante,24,7.0,3364,4010,83.9,60281,19523,1451,1589,91.3,1544,1728,89.4,304,528,57.6,11,8.4,9.7,2.6,100,334,79,20,340
vs Mallorca,24,7.0,3133,3750,83.5,55352,18622,1371,1501,91.3,1403,1570,89.4,291,502,58.0,8,9.6,9.2,-1.6,74,310,69,11,332
vs Osasuna,20,8.0,3557,4320,82.3,61534,20946,1662,1818,91.4,1497,1710,87.5,314,611,51.4,5,7.5,8.6,-2.5,87,315,61,22,365
vs Oviedo,26,7.0,3885,4481,86.7,61669,19382,2046,2185,93.6,1494,1679,89.0,247,418,59.1,9,7.9,10.0,1.1,101,342,85,14,398
vs Rayo Vallecano,23,7.0,2318,2990,77.5,40458,15666,1054,1185,88.9,920,1089,84.5,247,501,49.3,6,6.9,5.9,-0.9,54,159,50,13,230
vs Real Madrid,22,7.0,2260,2815,80.3,40758,15231,1044,1150,90.8,930,1063,87.5,249,488,51.0,4,5.2,6.4,-1.2,54,178,40,17,198
vs Real Sociedad,25,7.0,2593,3215,80.7,45521,15371,1181,1309,90.2,1052,1224,85.9,274,513,53.4,8,9.3,8.2,-1.3,80,179,52,10,237
vs Sevilla,28,7.0,2233,2911,76.7,40217,15890,912,1029,88.6,1021,1198,85.2,232,500,46.4,6,7.2,6.0,-1.2,61,172,45,12,231
vs Valencia,20,7.0,2807,3442,81.6,52156,18507,1165,1292,90.2,1320,1507,87.6,288,518,55.6,10,8.3,8.2,1.7,75,272,58,13,291
vs Villarreal,24,7.0,3232,3787,85.3,57465,19301,1376,1507,91.3,1502,1644,91.4,290,477,60.8,3,4.9,5.6,-1.9,46,249,48,15,306
