Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,22,7.0,2509,3256,77.1,44391,16728,1187,1336,88.8,1005,1212,82.9,246,510,48.2,2,3.0,3.6,-1.0,43,219,32,15,215
Athletic Club,24,7.0,2855,3584,79.7,51101,17263,1213,1378,88.0,1320,1531,86.2,272,509,53.4,1,5.7,6.4,-4.7,63,261,65,19,341
Atlético Madrid,21,7.0,3445,4093,84.2,59965,19278,1581,1724,91.7,1461,1626,89.9,320,551,58.1,8,9.1,9.1,-1.1,72,298,92,24,342
Barcelona,24,7.0,4453,5024,88.6,73185,23261,2153,2314,93.0,1968,2154,91.4,252,385,65.5,15,11.9,14.5,3.1,111,472,101,10,426
Betis,25,7.0,3024,3626,83.4,50881,17752,1458,1583,92.1,1147,1319,87.0,290,499,58.1,9,8.2,7.3,0.8,84,224,59,13,266
Celta Vigo,23,7.0,3313,3919,84.5,58035,19960,1391,1513,91.9,1605,1765,90.9,250,460,54.3,4,5.9,6.6,-1.9,64,294,66,10,345
Elche,25,7.0,3449,4028,85.6,56005,20067,1778,1893,93.9,1320,1460,90.4,252,474,53.2,6,6.6,6.1,-0.6,60,264,46,15,252
Espanyol,22,7.0,2142,2763,77.5,38325,15012,948,1077,88.0,942,1102,85.5,209,468,44.7,7,8.7,8.6,-1.7,70,158,47,23,208
Getafe,23,8.0,1876,2698,69.5,35764,14410,860,1001,85.9,682,882,77.3,278,637,43.6,9,4.2,4.4,4.8,45,183,26,10,190
Girona,27,7.0,2545,3120,81.6,44501,14383,1127,1232,91.5,1151,1290,89.2,214,447,47.9,3,4.4,4.7,-1.4,51,164,47,8,242
Levante,24,7.0,1922,2517,76.4,35679,14372,853,984,86.7,776,905,85.7,251,500,50.2,6,6.6,5.2,-0.6,51,159,38,18,174
Mallorca,24,7.0,2206,2828,78.0,42391,16607,899,1032,87.1,996,1156,86.2,282,524,53.8,4,3.9,4.9,0.1,52,211,39,19,223
Osasuna,20,8.0,2657,3445,77.1,47106,18489,1233,1381,89.3,1050,1275,82.4,290,586,49.5,5,5.6,6.0,-0.6,55,184,44,18,227
Oviedo,26,7.0,2150,2714,79.2,40870,14666,864,993,87.0,966,1101,87.7,273,485,56.3,2,2.6,3.4,-0.6,33,129,30,8,178
Rayo Vallecano,23,7.0,2906,3598,80.8,54615,19926,1158,1292,89.6,1382,1549,89.2,329,605,54.4,5,7.6,7.3,-2.6,71,261,46,20,285
Real Madrid,22,7.0,3985,4508,88.4,66586,19690,1970,2092,94.2,1562,1693,92.3,343,522,65.7,13,10.3,9.2,2.7,99,385,62,6,382
Real Sociedad,25,7.0,2813,3493,80.5,48622,17581,1279,1420,90.1,1243,1434,86.7,236,454,52.0,5,7.9,8.6,-2.9,84,234,55,16,310
Sevilla,28,7.0,2669,3326,80.2,49456,17332,1102,1242,88.7,1240,1417,87.5,279,509,54.8,8,4.4,5.4,3.6,57,222,51,18,240
Valencia,20,7.0,2366,2997,78.9,42900,15507,1016,1155,88.0,1065,1242,85.7,248,468,53.0,9,6.4,5.7,2.6,47,160,33,7,221
Villarreal,24,7.0,2918,3477,83.9,49507,16189,1408,1537,91.6,1233,1401,88.0,227,415,54.7,10,9.9,10.8,0.1,84,239,71,17,313
