Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alavés,22,51.1,7.0,4112,352,1185,2011,952,97,4110,130,47,36.2,68,52.3,2011,9457,4476,85,69,15,110,64,2489,214
Athletic Club,24,53.3,7.0,4387,326,1099,2131,1201,174,4385,138,57,41.3,66,47.8,2232,12531,6879,134,107,27,145,66,2837,340
Atlético Madrid,21,56.4,7.0,4752,381,1269,2160,1371,200,4750,129,53,41.1,60,46.5,2832,14632,7935,150,118,38,89,40,3420,342
Barcelona,24,71.4,7.0,5850,314,1160,2813,1922,264,5849,181,77,42.5,88,48.6,3584,17847,9403,187,143,68,106,59,4436,425
Betis,25,50.1,7.0,4495,433,1454,2012,1072,165,4495,131,54,41.2,50,38.2,2593,12785,6402,121,99,31,115,68,3003,262
Celta Vigo,23,52.9,7.0,4634,427,1307,2254,1098,159,4633,113,38,33.6,66,58.4,2477,12248,6782,131,73,36,84,50,3301,344
Elche,25,57.9,7.0,4778,378,1486,2291,1040,131,4777,125,54,43.2,61,48.8,2756,13868,7049,122,87,31,111,72,3404,251
Espanyol,22,41.0,7.0,3527,446,1220,1531,823,119,3525,95,39,41.1,48,50.5,1854,9209,4835,105,69,18,97,62,2124,205
Getafe,23,40.5,8.0,3686,378,1187,1684,855,111,3686,121,53,43.8,57,47.1,1431,7370,3302,67,52,17,144,76,1855,188
Girona,27,45.7,7.0,3868,491,1448,1657,803,128,3868,146,66,45.2,70,47.9,2440,13535,7032,120,80,25,94,64,2512,239
Levante,24,39.1,7.0,3330,461,1239,1446,671,106,3329,89,37,41.6,45,50.6,1782,7682,3607,61,48,22,94,68,1910,170
Mallorca,24,43.0,7.0,3592,501,1325,1501,807,107,3591,95,45,47.4,44,46.3,1970,9557,4547,72,77,15,107,56,2189,220
Osasuna,20,44.5,8.0,4333,503,1521,1991,874,140,4332,111,49,44.1,54,48.6,2257,11488,5402,95,101,33,115,61,2627,221
Oviedo,26,38.4,7.0,3531,574,1554,1413,586,93,3530,122,49,40.2,66,54.1,1810,9749,4494,89,43,24,90,45,2130,176
Rayo Vallecano,23,54.7,7.0,4375,478,1416,1954,1049,139,4374,101,44,43.6,48,47.5,2355,11481,5941,127,83,24,125,46,2890,284
Real Madrid,22,60.9,7.0,5309,349,1094,2542,1712,224,5307,186,69,37.1,82,44.1,3390,17249,9050,178,115,78,91,39,3964,379
Real Sociedad,25,52.4,7.0,4313,393,1204,2095,1049,170,4312,133,55,41.4,62,46.6,2403,12171,6891,128,98,33,123,47,2791,308
Sevilla,28,53.0,7.0,4196,444,1463,1813,960,152,4196,119,44,37.0,59,49.6,2217,11436,6221,122,76,29,125,61,2652,236
Valencia,20,47.0,7.0,3783,514,1462,1605,759,110,3782,113,40,35.4,61,54.0,2031,10846,5364,105,78,24,97,42,2341,221
Villarreal,24,48.7,7.0,4250,369,1253,1766,1279,206,4250,138,54,39.1,62,44.9,2502,12026,6681,157,117,52,109,52,2903,313
