Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,22,7.0,7,78,23,29.5,11.14,3.29,0.09,0.3,18.4,3,0,0,6.3,6.3,0.08,0.7,0.7
vs Athletic Club,24,7.0,7,64,24,37.5,9.14,3.43,0.11,0.29,17.7,0,0,0,5.9,5.9,0.09,1.1,1.1
vs Atlético Madrid,21,7.0,9,50,17,34.0,7.14,2.43,0.16,0.47,18.9,2,1,1,6.7,5.9,0.12,2.3,2.1
vs Barcelona,24,7.0,5,42,19,45.2,6.0,2.71,0.1,0.21,15.4,1,1,1,6.3,5.8,0.14,-1.3,-1.8
vs Betis,25,7.0,6,74,26,35.1,10.57,3.71,0.08,0.23,17.5,1,0,0,6.0,6.0,0.08,0.0,0.0
vs Celta Vigo,23,7.0,9,81,31,38.3,11.57,4.43,0.11,0.29,17.3,1,0,1,8.7,7.9,0.1,0.3,1.1
vs Elche,25,7.0,6,72,22,30.6,10.29,3.14,0.08,0.27,18.5,3,0,0,7.4,7.4,0.1,-1.4,-1.4
vs Espanyol,22,7.0,9,96,33,34.4,13.71,4.71,0.08,0.24,17.0,3,1,1,8.8,8.0,0.08,0.2,0.0
vs Getafe,23,8.0,10,79,28,35.4,9.87,3.5,0.13,0.36,18.8,3,0,0,6.8,6.8,0.09,3.2,3.2
vs Girona,27,7.0,16,118,36,30.5,16.86,5.14,0.12,0.39,16.7,2,2,2,14.9,13.3,0.11,1.1,0.7
vs Levante,24,7.0,13,126,42,33.3,18.0,6.0,0.1,0.29,17.3,2,1,1,11.3,10.5,0.08,1.7,1.5
vs Mallorca,24,7.0,11,97,31,32.0,13.86,4.43,0.1,0.32,18.6,2,1,2,12.7,11.2,0.12,-1.7,-1.2
vs Osasuna,20,8.0,8,106,35,33.0,13.25,4.37,0.07,0.2,19.2,1,1,1,9.2,8.4,0.08,-1.2,-1.4
vs Oviedo,26,7.0,12,131,48,36.6,18.71,6.86,0.09,0.25,18.2,2,0,1,11.8,11.0,0.09,0.2,1.0
vs Rayo Vallecano,23,7.0,10,70,27,38.6,10.0,3.86,0.11,0.3,17.2,1,2,2,10.4,8.9,0.13,-0.4,-0.9
vs Real Madrid,22,7.0,8,70,18,25.7,10.0,2.57,0.09,0.33,16.8,2,2,2,8.6,7.0,0.1,-0.6,-1.0
vs Real Sociedad,25,7.0,10,105,29,27.6,15.0,4.14,0.09,0.31,17.9,3,1,1,11.8,11.0,0.11,-1.8,-2.0
vs Sevilla,28,7.0,10,84,30,35.7,12.0,4.29,0.1,0.27,17.8,2,2,2,11.2,9.6,0.12,-1.2,-1.6
vs Valencia,20,7.0,12,106,35,33.0,15.14,5.0,0.11,0.34,18.2,5,0,0,10.0,10.0,0.1,2.0,2.0
vs Villarreal,24,7.0,5,64,18,28.1,9.14,2.57,0.06,0.22,18.2,2,1,2,7.1,5.5,0.09,-2.1,-1.5
