Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alavés,22,28.2,48.9,7,77,630,7.0,7,3,10,7,0,0,21,0,6.3,6.3,3.6,9.9,87,230,1.0,0.43,1.43,1.0,1.43,0.9,0.51,1.42,0.9,1.42
vs Athletic Club,24,27.5,46.7,7,77,630,7.0,7,6,13,7,0,0,15,0,5.9,5.9,4.9,10.8,111,177,1.0,0.86,1.86,1.0,1.86,0.84,0.7,1.54,0.84,1.54
vs Atlético Madrid,21,27.6,43.6,7,77,630,7.0,9,8,17,8,1,1,21,0,6.7,5.9,4.8,10.7,82,227,1.29,1.14,2.43,1.14,2.29,0.95,0.69,1.64,0.84,1.53
vs Barcelona,24,28.4,28.6,7,77,630,7.0,5,3,8,4,1,1,19,2,6.3,5.8,4.8,10.6,58,118,0.71,0.43,1.14,0.57,1.0,0.91,0.69,1.59,0.82,1.51
vs Betis,25,27.1,49.9,7,77,630,7.0,6,4,10,6,0,0,20,1,6.0,6.0,5.0,11.0,124,290,0.86,0.57,1.43,0.86,1.43,0.86,0.71,1.57,0.86,1.57
vs Celta Vigo,23,28.1,47.1,7,77,630,7.0,9,7,16,9,0,1,16,0,8.7,7.9,6.5,14.4,109,231,1.29,1.0,2.29,1.29,2.29,1.24,0.93,2.17,1.13,2.06
vs Elche,25,27.8,42.1,7,77,630,7.0,6,6,12,6,0,0,14,0,7.4,7.4,5.6,13.1,110,237,0.86,0.86,1.71,0.86,1.71,1.06,0.8,1.87,1.06,1.87
vs Espanyol,22,27.3,59.0,7,77,630,7.0,9,6,15,8,1,1,15,0,8.8,8.0,6.3,14.3,141,332,1.29,0.86,2.14,1.14,2.0,1.25,0.9,2.15,1.14,2.04
vs Getafe,23,27.3,59.5,8,88,720,8.0,10,9,19,10,0,0,21,1,6.8,6.8,5.8,12.6,121,276,1.25,1.13,2.37,1.25,2.37,0.85,0.73,1.58,0.85,1.58
vs Girona,27,27.1,54.3,7,77,630,7.0,16,9,25,14,2,2,7,0,14.9,13.3,10.0,23.3,139,334,2.29,1.29,3.57,2.0,3.29,2.12,1.43,3.55,1.9,3.33
vs Levante,24,26.6,60.9,7,77,630,7.0,13,11,24,12,1,1,13,2,11.3,10.5,8.4,18.9,160,340,1.86,1.57,3.43,1.71,3.29,1.62,1.2,2.81,1.5,2.7
vs Mallorca,24,26.6,57.0,7,77,630,7.0,11,8,19,10,1,2,13,2,12.7,11.2,9.6,20.8,139,332,1.57,1.14,2.71,1.43,2.57,1.81,1.37,3.18,1.59,2.97
vs Osasuna,20,27.4,55.5,8,88,720,8.0,8,5,13,7,1,1,14,1,9.2,8.4,7.5,15.9,153,365,1.0,0.62,1.62,0.87,1.5,1.15,0.93,2.08,1.05,1.98
vs Oviedo,26,26.7,61.6,7,77,630,7.0,12,9,21,12,0,1,8,0,11.8,11.0,7.9,18.9,172,398,1.71,1.29,3.0,1.71,3.0,1.68,1.13,2.82,1.57,2.71
vs Rayo Vallecano,23,27.3,45.3,7,77,630,7.0,10,6,16,8,2,2,10,1,10.4,8.9,6.9,15.8,111,230,1.43,0.86,2.29,1.14,2.0,1.49,0.99,2.48,1.27,2.26
vs Real Madrid,22,27.9,39.1,7,77,630,7.0,8,4,12,6,2,2,10,1,8.6,7.0,5.2,12.3,111,198,1.14,0.57,1.71,0.86,1.43,1.22,0.75,1.97,1.0,1.75
vs Real Sociedad,25,27.6,47.6,7,77,630,7.0,10,8,18,9,1,1,12,1,11.8,11.0,9.3,20.3,110,237,1.43,1.14,2.57,1.29,2.43,1.69,1.33,3.02,1.57,2.91
vs Sevilla,28,27.9,47.0,7,77,630,7.0,10,6,16,8,2,2,12,1,11.2,9.6,7.2,16.9,95,231,1.43,0.86,2.29,1.14,2.0,1.6,1.03,2.63,1.38,2.41
vs Valencia,20,27.3,53.0,7,77,630,7.0,12,10,22,12,0,0,10,2,10.0,10.0,8.3,18.3,118,291,1.71,1.43,3.14,1.71,3.14,1.43,1.19,2.62,1.43,2.62
vs Villarreal,24,27.5,51.3,7,77,630,7.0,5,3,8,4,1,2,12,2,7.1,5.5,4.9,10.4,105,306,0.71,0.43,1.14,0.57,1.0,1.01,0.7,1.71,0.79,1.48
