Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Angers,21,6.0,90,15.0,70,8,2,5,3,2,6,1.0,5,0,0,0,1,0
Auxerre,22,6.0,102,17.0,80,10,1,7,3,1,6,1.0,6,0,0,0,0,0
Brest,24,6.0,138,23.0,86,18,5,14,12,3,18,3.0,13,1,2,1,1,0
Le Havre,22,6.0,117,19.5,78,7,7,12,12,1,7,1.17,5,0,0,2,0,0
Lens,21,6.0,164,27.33,115,14,10,16,6,3,11,1.83,7,0,0,3,1,0
Lille,26,6.0,179,29.83,138,14,7,13,7,0,20,3.33,16,1,1,2,0,0
Lorient,22,7.0,134,19.14,78,14,8,19,13,2,17,2.43,7,2,5,2,1,0
Lyon,22,6.0,121,20.17,83,11,11,14,2,0,13,2.17,9,0,1,3,0,0
Marseille,28,6.0,145,24.17,107,14,5,11,7,1,19,3.17,11,2,0,3,2,1
Metz,23,6.0,91,15.17,63,9,9,4,5,1,9,1.5,6,1,0,1,1,0
Monaco,26,6.0,112,18.67,89,9,4,6,3,1,21,3.5,19,1,1,0,0,0
Nantes,20,6.0,104,17.33,76,12,3,9,3,1,8,1.33,5,1,0,2,0,0
Nice,26,6.0,159,26.5,123,14,4,13,2,3,11,1.83,9,0,1,1,0,0
Paris FC,24,7.0,169,24.14,132,9,9,12,3,4,20,2.86,16,0,0,3,1,0
Paris S-G,22,6.0,168,28.0,137,10,6,3,10,2,23,3.83,15,3,1,1,2,1
Rennes,25,6.0,134,22.33,103,6,10,9,4,2,10,1.67,9,0,0,1,0,0
Strasbourg,24,6.0,113,18.83,79,9,8,7,8,2,16,2.67,10,0,2,2,2,0
Toulouse,21,6.0,118,19.67,72,16,10,12,4,4,15,2.5,6,1,4,3,1,0
