Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,6,6,540,6.0,6,1.0,31,24,83.9,1,2,3,1,16.7,3,1,1,1,50.0
Auxerre,2,6,6,540,6.0,8,1.33,26,18,69.2,2,0,4,2,33.3,1,0,1,0,100.0
Brest,2,6,6,536,6.0,11,1.85,29,18,65.5,2,1,3,1,16.7,1,1,0,0,0.0
Le Havre,1,6,6,540,6.0,8,1.33,19,12,68.4,1,2,3,1,16.7,2,2,0,0,0.0
Lens,1,6,6,540,6.0,5,0.83,22,17,77.3,3,1,2,2,33.3,0,0,0,0,
Lille,2,6,6,540,6.0,9,1.5,20,10,55.0,3,1,2,1,16.7,1,0,1,0,100.0
Lorient,2,7,7,630,7.0,16,2.29,28,12,50.0,2,1,4,1,14.3,4,2,0,2,0.0
Lyon,2,6,6,540,6.0,3,0.5,17,15,82.4,5,0,1,5,83.3,0,0,0,0,
Marseille,2,6,6,540,6.0,5,0.83,21,16,76.2,4,0,2,2,33.3,0,0,0,0,
Metz,1,6,6,540,6.0,13,2.17,32,20,65.6,0,2,4,1,16.7,2,2,0,0,0.0
Monaco,2,6,6,540,6.0,10,1.67,22,13,63.6,4,0,2,0,0.0,3,2,0,1,0.0
Nantes,1,6,6,540,6.0,7,1.17,31,24,83.9,1,2,3,1,16.7,2,2,0,0,0.0
Nice,1,6,6,540,6.0,10,1.67,29,19,69.0,2,1,3,1,16.7,1,1,0,0,0.0
Paris FC,2,7,7,630,7.0,13,1.86,29,16,62.1,3,1,3,1,14.3,3,2,0,1,0.0
Paris S-G,1,6,6,540,6.0,4,0.67,12,8,66.7,5,0,1,4,66.7,1,0,1,0,100.0
Rennes,1,6,6,540,6.0,8,1.33,27,18,70.4,2,3,1,2,33.3,1,0,1,0,100.0
Strasbourg,2,6,6,540,6.0,7,1.17,22,15,68.2,4,0,2,3,50.0,0,0,0,0,
Toulouse,1,6,6,540,6.0,11,1.83,20,9,60.0,2,1,3,2,33.3,3,3,0,0,0.0
