Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Angers,21,6.0,6,0,0,63,52,7,125,37,61,2,1,0,240,60,56,51.7
vs Auxerre,22,6.0,18,0,0,93,72,6,92,44,60,0,1,1,257,94,86,52.2
vs Brest,24,6.0,9,1,0,68,68,11,133,48,57,1,2,0,282,93,114,44.9
vs Le Havre,22,6.0,15,1,1,76,90,7,107,47,56,1,1,0,234,85,80,51.5
vs Lens,21,6.0,16,3,0,86,69,5,106,44,56,0,2,0,235,85,73,53.8
vs Lille,26,6.0,16,1,0,90,76,11,86,76,48,1,2,0,248,65,91,41.7
vs Lorient,22,7.0,15,3,1,111,79,9,123,50,62,2,1,0,247,104,76,57.8
vs Lyon,22,6.0,14,1,0,87,98,14,123,40,43,0,0,0,217,55,64,46.2
vs Marseille,28,6.0,9,2,0,61,76,10,72,43,46,0,3,1,218,49,68,41.9
vs Metz,23,6.0,7,0,0,68,69,10,109,40,58,2,2,0,253,49,44,52.7
vs Monaco,26,6.0,8,2,1,61,76,5,97,65,65,3,1,2,276,67,69,49.3
vs Nantes,20,6.0,11,0,0,80,63,23,135,42,46,1,1,0,276,72,65,52.6
vs Nice,26,6.0,8,1,0,86,75,1,94,36,56,0,0,1,229,81,83,49.4
vs Paris FC,24,7.0,12,2,0,76,76,9,107,42,70,3,2,0,260,90,68,57.0
vs Paris S-G,22,6.0,9,0,0,56,51,8,52,66,87,1,3,0,253,46,41,52.9
vs Rennes,25,6.0,17,2,0,74,75,9,115,51,52,1,1,1,248,48,51,48.5
vs Strasbourg,24,6.0,13,0,0,80,64,11,120,44,83,0,2,0,258,55,57,49.1
vs Toulouse,21,6.0,9,1,0,69,75,4,101,42,67,2,3,0,237,71,83,46.1
