Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Angers,21,6.0,2249,2007,231,68,8,17,94,77,22,16,5,0,1799,11,40
Auxerre,22,6.0,2316,2023,283,98,9,14,85,103,30,6,16,0,1771,10,43
Brest,24,6.0,2447,2160,280,75,10,19,86,114,24,13,8,0,1842,7,44
Le Havre,22,6.0,2801,2504,291,79,4,11,155,125,26,19,7,0,2228,6,53
Lens,21,6.0,2607,2321,275,86,7,21,123,91,38,17,13,1,2073,11,58
Lille,26,6.0,3169,2871,289,97,14,21,127,101,38,8,21,0,2601,9,66
Lorient,22,7.0,3205,2884,310,116,10,9,106,105,19,7,8,0,2659,11,61
Lyon,22,6.0,3006,2719,282,99,13,27,105,90,36,17,14,0,2549,5,57
Marseille,28,6.0,3558,3301,251,65,13,25,113,98,40,16,16,0,3092,6,44
Metz,23,6.0,3037,2769,261,76,4,41,93,91,25,7,13,0,2568,7,50
Monaco,26,6.0,3369,3074,281,62,7,16,113,129,30,16,9,0,2810,14,58
Nantes,20,6.0,2546,2240,301,101,5,9,75,106,23,18,2,0,2013,5,52
Nice,26,6.0,3186,2899,277,86,14,18,133,102,38,16,14,0,2665,10,50
Paris FC,24,7.0,4026,3707,308,82,13,29,128,119,34,22,2,0,3475,11,47
Paris S-G,22,6.0,4906,4667,235,56,11,29,80,102,38,9,10,0,4474,4,53
Rennes,25,6.0,3135,2852,269,81,7,10,88,97,27,11,9,0,2654,14,53
Strasbourg,24,6.0,3044,2770,263,85,13,8,100,98,26,9,13,2,2565,11,43
Toulouse,21,6.0,2289,2062,219,67,12,9,93,69,23,9,11,0,1823,8,38
