Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Angers,21,6.0,3485,4006,87.0,60790,18432,1514,1624,93.2,1585,1737,91.2,294,462,63.6,3,5.5,6.3,-2.5,59,319,42,9,315
vs Auxerre,22,6.0,2703,3210,84.2,46704,15445,1141,1254,91.0,1287,1433,89.8,199,358,55.6,7,7.7,7.1,-0.7,61,216,45,13,235
vs Brest,24,6.0,2657,3230,82.3,46979,16141,1150,1311,87.7,1228,1357,90.5,233,426,54.7,5,6.8,8.3,-1.8,58,200,70,18,292
vs Le Havre,22,6.0,2603,3099,84.0,44194,14972,1218,1338,91.0,1091,1232,88.6,226,377,59.9,5,4.5,4.7,0.5,39,199,36,10,206
vs Lens,21,6.0,2724,3269,83.3,47621,16234,1188,1318,90.1,1214,1354,89.7,239,416,57.5,4,7.1,7.1,-3.1,65,219,51,11,239
vs Lille,26,6.0,1764,2302,76.6,32029,11935,792,920,86.1,749,881,85.0,193,386,50.0,5,5.7,4.1,-0.7,38,125,28,6,157
vs Lorient,22,7.0,3642,4208,86.5,65153,18553,1419,1557,91.1,1834,1990,92.2,294,483,60.9,11,6.3,7.5,4.7,55,337,50,7,315
vs Lyon,22,6.0,2164,2652,81.6,39403,13642,930,1029,90.4,959,1101,87.1,230,384,59.9,2,5.3,5.4,-3.3,60,163,44,11,235
vs Marseille,28,6.0,2231,2648,84.3,37938,12400,1050,1139,92.2,922,1019,90.5,187,350,53.4,3,5.2,4.3,-2.2,44,136,31,9,165
vs Metz,23,6.0,2637,3091,85.3,44862,15518,1218,1332,91.4,1157,1277,90.6,201,340,59.1,9,8.7,7.5,0.3,55,187,44,9,259
vs Monaco,26,6.0,2207,2742,80.5,39692,14715,916,1026,89.3,983,1154,85.2,232,393,59.0,6,6.8,5.8,-0.8,57,176,47,8,222
vs Nantes,20,6.0,2781,3313,83.9,48827,15662,1221,1340,91.1,1250,1378,90.7,244,435,56.1,5,6.4,6.1,-1.4,73,284,58,18,279
vs Nice,26,6.0,2000,2519,79.4,38399,14059,779,882,88.3,945,1078,87.7,246,462,53.2,8,7.2,5.7,0.8,56,146,41,14,140
vs Paris FC,24,7.0,2679,3264,82.1,48313,16367,1143,1278,89.4,1243,1401,88.7,246,462,53.2,11,7.8,5.5,3.2,57,164,42,9,227
vs Paris S-G,22,6.0,1460,1909,76.5,26166,11513,701,797,88.0,555,678,81.9,173,316,54.7,1,3.1,3.3,-2.1,38,96,27,7,115
vs Rennes,25,6.0,2443,2938,83.2,42440,14323,1161,1276,91.0,1002,1139,88.0,231,402,57.5,6,7.7,7.5,-1.7,68,215,59,15,249
vs Strasbourg,24,6.0,2647,3160,83.8,45976,15100,1132,1243,91.1,1188,1319,90.1,236,412,57.3,4,5.0,6.0,-1.0,52,169,42,13,205
vs Toulouse,21,6.0,2834,3336,85.0,48685,16017,1297,1419,91.4,1241,1374,90.3,233,412,56.6,5,4.8,6.0,0.2,56,190,52,12,230
