Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Angers,21,6.0,1799,2249,80.0,32849,12746,766,859,89.2,799,921,86.8,193,363,53.2,2,4.1,4.0,-2.1,36,119,34,13,163
Auxerre,22,6.0,1771,2316,76.5,32736,12244,752,875,85.9,768,894,85.9,212,433,49.0,3,4.0,3.2,-1.0,43,166,29,7,165
Brest,24,6.0,1842,2447,75.3,36954,14310,695,817,85.1,844,1004,84.1,271,504,53.8,8,6.1,5.3,1.9,56,145,35,14,157
Le Havre,22,6.0,2228,2801,79.5,41528,13475,840,956,87.9,1112,1248,89.1,221,456,48.5,4,6.1,6.4,-2.1,47,153,38,18,194
Lens,21,6.0,2073,2607,79.5,37012,13592,955,1087,87.9,862,1003,85.9,220,392,56.1,3,7.4,6.8,-4.4,67,146,59,14,226
Lille,26,6.0,2601,3169,82.1,47279,15894,1025,1186,86.4,1290,1448,89.1,236,379,62.3,9,9.2,8.2,-0.2,74,218,57,12,280
Lorient,22,7.0,2659,3205,83.0,47880,16900,1163,1299,89.5,1197,1351,88.6,260,437,59.5,7,7.1,5.9,-0.1,52,219,44,9,248
Lyon,22,6.0,2549,3006,84.8,42941,14295,1216,1302,93.4,1068,1184,90.2,196,363,54.0,5,8.0,6.6,-3.0,53,170,39,11,219
Marseille,28,6.0,3092,3558,86.9,51463,15714,1430,1544,92.6,1308,1445,90.5,233,373,62.5,6,5.9,7.2,0.1,63,289,60,10,256
Metz,23,6.0,2568,3037,84.6,46438,14792,1098,1176,93.4,1128,1260,89.5,273,454,60.1,4,5.1,3.7,-1.1,42,139,20,8,167
Monaco,26,6.0,2810,3369,83.4,47492,15305,1262,1395,90.5,1253,1404,89.2,215,380,56.6,10,7.9,7.7,2.1,49,243,61,11,259
Nantes,20,6.0,2013,2546,79.1,37680,13267,771,903,85.4,1005,1140,88.2,201,392,51.3,3,3.3,3.6,-0.3,41,101,29,5,140
Nice,26,6.0,2665,3186,83.6,42035,14422,1390,1517,91.6,1026,1163,88.2,163,322,50.6,6,7.3,8.1,-1.3,69,215,58,21,259
Paris FC,24,7.0,3475,4026,86.3,62465,20011,1433,1556,92.1,1636,1782,91.8,331,530,62.5,8,7.5,7.7,0.5,74,238,47,11,313
Paris S-G,22,6.0,4474,4906,91.2,72049,20381,2211,2341,94.4,1831,1947,94.0,288,390,73.8,7,6.1,7.6,0.9,76,418,55,6,354
Rennes,25,6.0,2654,3135,84.7,48174,16101,1066,1161,91.8,1317,1445,91.1,232,404,57.4,5,5.8,5.7,-0.8,56,244,43,8,259
Strasbourg,24,6.0,2565,3044,84.3,43112,14878,1167,1277,91.4,1119,1261,88.7,197,343,57.4,7,6.6,5.3,0.4,47,166,55,10,251
Toulouse,21,6.0,1823,2289,79.6,34084,12701,730,832,87.7,870,1002,86.8,195,361,54.0,3,4.1,5.3,-1.1,46,152,46,11,175
