Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Angers,21,26.5,6,540,90,100,6.0,66,81,41,25,15,29,1.83,6,3,3,0.5,9.2,6.3,2.9,0.48
vs Auxerre,22,24.7,6,540,90,100,6.0,66,83,38,28,22,26,2.0,8,4,4,0.67,9.0,5.8,3.3,0.54
vs Brest,24,25.9,6,540,90,100,6.0,66,84,34,31,21,23,1.67,11,11,0,0.0,11.1,10.0,1.1,0.18
vs Le Havre,22,25.3,6,540,90,100,6.0,66,82,39,26,22,28,1.83,8,6,2,0.33,6.5,8.0,-1.5,-0.24
vs Lens,21,26.2,6,540,90,100,6.0,66,81,37,27,24,27,1.17,5,8,-3,-0.5,8.3,12.4,-4.1,-0.68
vs Lille,26,26.6,6,540,90,100,6.0,66,82,43,24,15,29,1.17,9,13,-4,-0.67,9.2,13.4,-4.2,-0.7
vs Lorient,22,26.5,7,630,90,100,7.0,77,78,42,33,21,30,1.86,16,9,7,1.0,11.3,9.3,2.1,0.29
vs Lyon,22,26.2,6,540,90,100,6.0,66,85,39,26,22,28,0.5,3,8,-5,-0.83,7.2,10.5,-3.2,-0.54
vs Marseille,28,25.1,6,540,90,100,6.0,66,80,37,27,23,26,1.0,5,12,-7,-1.17,7.1,10.1,-3.0,-0.5
vs Metz,23,25.8,6,540,90,100,6.0,66,83,39,27,19,27,2.33,13,5,8,1.33,12.8,7.0,5.8,0.97
vs Monaco,26,25.4,6,540,90,100,6.0,66,81,41,24,18,28,1.0,10,14,-4,-0.67,10.0,10.8,-0.8,-0.14
vs Nantes,20,25.0,6,540,90,100,6.0,66,82,37,29,24,25,1.83,7,5,2,0.33,9.0,5.1,3.9,0.65
vs Nice,26,26.2,6,540,90,100,6.0,66,81,37,28,17,26,1.67,10,7,3,0.5,9.2,8.3,0.9,0.16
vs Paris FC,24,25.6,7,630,90,100,7.0,77,82,43,33,19,30,1.43,13,12,1,0.14,11.2,11.1,0.1,0.02
vs Paris S-G,22,26.2,6,540,90,100,6.0,66,79,37,29,21,25,0.5,4,12,-8,-1.33,5.9,9.3,-3.5,-0.58
vs Rennes,25,26.2,6,540,90,100,6.0,66,76,40,25,20,29,1.0,8,7,1,0.17,10.6,7.6,3.0,0.5
vs Strasbourg,24,26.9,6,540,90,100,6.0,66,78,36,30,17,24,1.0,7,9,-2,-0.33,6.9,8.8,-1.9,-0.31
vs Toulouse,21,25.5,6,540,90,100,6.0,66,82,38,27,19,27,1.67,11,9,2,0.33,8.3,9.1,-0.8,-0.14
