Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Angers,21,6.0,6,82,29,35.4,13.67,4.83,0.06,0.17,19.8,5,1,3,9.2,6.8,0.08,-3.2,-1.8
vs Auxerre,22,6.0,7,74,25,33.8,12.33,4.17,0.09,0.28,15.8,1,0,1,9.0,8.3,0.11,-2.0,-1.3
vs Brest,24,6.0,11,84,28,33.3,14.0,4.67,0.12,0.36,14.2,2,1,1,11.1,10.3,0.13,-0.1,-0.3
vs Le Havre,22,6.0,7,48,17,35.4,8.0,2.83,0.1,0.29,16.6,2,2,2,6.5,5.0,0.1,0.5,0.0
vs Lens,21,6.0,5,83,22,26.5,13.83,3.67,0.06,0.23,17.3,2,0,0,8.3,8.3,0.1,-3.3,-3.3
vs Lille,26,6.0,9,58,19,32.8,9.67,3.17,0.16,0.47,16.6,1,0,1,9.2,8.2,0.15,-0.2,0.8
vs Lorient,22,7.0,16,70,26,37.1,10.0,3.71,0.2,0.54,18.0,0,2,4,11.3,8.3,0.12,4.7,5.7
vs Lyon,22,6.0,2,81,17,21.0,13.5,2.83,0.02,0.12,16.9,2,0,0,7.2,7.2,0.09,-5.2,-5.2
vs Marseille,28,6.0,5,63,21,33.3,10.5,3.5,0.08,0.24,18.0,4,0,0,7.1,7.1,0.13,-2.1,-2.1
vs Metz,23,6.0,12,80,30,37.5,13.33,5.0,0.13,0.33,17.8,5,2,2,12.8,11.2,0.14,-0.8,-1.2
vs Monaco,26,6.0,9,72,20,27.8,12.0,3.33,0.1,0.35,18.0,1,2,3,10.0,7.6,0.11,-1.0,-0.6
vs Nantes,20,6.0,7,92,29,31.5,15.33,4.83,0.05,0.17,18.2,0,2,2,9.0,7.5,0.08,-2.0,-2.5
vs Nice,26,6.0,10,71,28,39.4,11.83,4.67,0.13,0.32,17.8,0,1,1,9.2,8.5,0.12,0.8,0.5
vs Paris FC,24,7.0,13,80,27,33.8,11.43,3.86,0.14,0.41,17.0,3,2,3,11.2,9.4,0.13,1.8,1.6
vs Paris S-G,22,6.0,3,53,11,20.8,8.83,1.83,0.06,0.27,18.0,1,0,1,5.9,5.1,0.1,-2.9,-2.1
vs Rennes,25,6.0,8,92,26,28.3,15.33,4.33,0.09,0.31,17.0,2,0,1,10.6,9.8,0.11,-2.6,-1.8
vs Strasbourg,24,6.0,7,67,22,32.8,11.17,3.67,0.1,0.32,17.0,2,0,0,6.9,6.9,0.1,0.1,0.1
vs Toulouse,21,6.0,11,77,17,22.1,12.83,2.83,0.1,0.47,18.2,3,3,3,8.3,6.0,0.08,2.7,2.0
