Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,21,6.0,3,51,16,31.4,8.5,2.67,0.04,0.13,16.1,1,1,1,6.3,5.5,0.12,-3.3,-3.5
Auxerre,22,6.0,3,59,20,33.9,9.83,3.33,0.05,0.15,18.5,0,0,1,5.8,5.1,0.09,-2.8,-2.1
Brest,24,6.0,11,82,22,26.8,13.67,3.67,0.11,0.41,17.3,2,2,2,10.0,8.4,0.11,1.0,0.6
Le Havre,22,6.0,6,71,22,31.0,11.83,3.67,0.08,0.27,18.5,4,0,1,8.0,7.2,0.11,-2.0,-1.2
Lens,21,6.0,8,91,26,28.6,15.17,4.33,0.07,0.23,16.1,3,2,2,12.4,10.8,0.12,-4.4,-4.8
Lille,26,6.0,13,97,28,28.9,16.17,4.67,0.12,0.43,16.9,2,1,2,13.4,11.9,0.13,-0.4,0.1
Lorient,22,7.0,9,80,27,33.8,11.43,3.86,0.11,0.33,16.5,3,0,1,9.3,8.3,0.11,-0.3,0.7
Lyon,22,6.0,8,71,28,39.4,11.83,4.67,0.11,0.29,14.8,2,0,0,10.5,10.5,0.17,-2.5,-2.5
Marseille,28,6.0,11,77,27,35.1,12.83,4.5,0.12,0.33,17.3,1,2,3,10.1,8.2,0.11,0.9,0.8
Metz,23,6.0,5,49,10,20.4,8.17,1.67,0.08,0.4,16.8,0,1,2,7.0,5.4,0.11,-2.0,-1.4
Monaco,26,6.0,12,64,18,28.1,10.67,3.0,0.17,0.61,15.1,3,1,1,10.8,10.0,0.16,1.2,1.0
Nantes,20,6.0,5,59,13,22.0,9.83,2.17,0.08,0.38,20.0,1,0,1,5.1,4.3,0.08,-0.1,0.7
Nice,26,6.0,6,87,28,32.2,14.5,4.67,0.07,0.21,17.6,1,0,0,8.3,8.3,0.1,-2.3,-2.3
Paris FC,24,7.0,12,95,33,34.7,13.57,4.71,0.11,0.3,18.4,1,2,2,11.1,9.6,0.1,0.9,0.4
Paris S-G,22,6.0,12,90,33,36.7,15.0,5.5,0.11,0.3,20.0,6,2,3,9.3,7.0,0.08,2.7,3.0
Rennes,25,6.0,6,75,22,29.3,12.5,3.67,0.07,0.23,19.0,1,1,1,7.6,6.8,0.09,-1.6,-1.8
Strasbourg,24,6.0,9,60,19,31.7,10.0,3.17,0.12,0.37,16.4,4,2,2,8.8,7.2,0.13,0.2,-0.2
Toulouse,21,6.0,9,69,22,31.9,11.5,3.67,0.12,0.36,16.4,1,1,3,9.1,6.9,0.1,-0.1,1.1
