Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Angers,21,26.5,63.2,6,66,540,6.0,6,3,9,5,1,3,6,0,9.2,6.8,5.5,12.4,123,315,1.0,0.5,1.5,0.83,1.33,1.53,0.92,2.46,1.14,2.06
vs Auxerre,22,24.7,57.8,6,66,540,6.0,7,7,14,7,0,1,18,0,9.0,8.3,7.7,16.0,89,235,1.17,1.17,2.33,1.17,2.33,1.5,1.29,2.79,1.38,2.67
vs Brest,24,25.9,56.8,6,66,540,6.0,11,5,16,10,1,1,9,1,11.1,10.3,6.8,17.1,95,292,1.83,0.83,2.67,1.67,2.5,1.85,1.13,2.98,1.72,2.85
vs Le Havre,22,25.3,52.5,6,66,540,6.0,7,5,12,5,2,2,15,1,6.5,5.0,4.5,9.5,104,206,1.17,0.83,2.0,0.83,1.67,1.09,0.75,1.84,0.83,1.58
vs Lens,21,26.2,55.0,6,66,540,6.0,5,4,9,5,0,0,16,3,8.3,8.3,7.1,15.4,107,239,0.83,0.67,1.5,0.83,1.5,1.38,1.19,2.57,1.38,2.57
vs Lille,26,26.6,42.2,6,66,540,6.0,9,5,14,9,0,1,16,1,9.2,8.2,5.7,14.0,82,157,1.5,0.83,2.33,1.5,2.33,1.53,0.95,2.49,1.37,2.33
vs Lorient,22,26.5,56.3,7,77,630,7.0,16,11,27,14,2,4,15,3,11.3,8.3,6.3,14.6,106,315,2.29,1.57,3.86,2.0,3.57,1.62,0.91,2.53,1.19,2.09
vs Lyon,22,26.2,46.8,6,66,540,6.0,2,2,4,2,0,0,14,1,7.2,7.2,5.3,12.5,124,235,0.33,0.33,0.67,0.33,0.67,1.2,0.88,2.09,1.2,2.09
vs Marseille,28,25.1,43.5,6,66,540,6.0,5,3,8,5,0,0,9,2,7.1,7.1,5.2,12.2,90,165,0.83,0.5,1.33,0.83,1.33,1.18,0.87,2.04,1.18,2.04
vs Metz,23,25.8,50.7,6,66,540,6.0,12,9,21,10,2,2,7,0,12.8,11.2,8.7,19.9,114,259,2.0,1.5,3.5,1.67,3.17,2.13,1.45,3.58,1.86,3.32
vs Monaco,26,25.4,44.7,6,66,540,6.0,9,6,15,7,2,3,8,2,10.0,7.6,6.8,14.4,119,222,1.5,1.0,2.5,1.17,2.17,1.66,1.13,2.79,1.27,2.4
vs Nantes,20,25.0,56.3,6,66,540,6.0,7,5,12,5,2,2,11,0,9.0,7.5,6.4,14.0,124,279,1.17,0.83,2.0,0.83,1.67,1.5,1.07,2.57,1.26,2.33
vs Nice,26,26.2,44.2,6,66,540,6.0,10,8,18,9,1,1,8,1,9.2,8.5,7.2,15.6,83,140,1.67,1.33,3.0,1.5,2.83,1.54,1.19,2.73,1.41,2.6
vs Paris FC,24,25.6,44.7,7,77,630,7.0,13,11,24,11,2,3,12,2,11.2,9.4,7.8,17.2,104,227,1.86,1.57,3.43,1.57,3.14,1.61,1.11,2.72,1.34,2.46
vs Paris S-G,22,26.2,28.3,6,66,540,6.0,3,1,4,3,0,1,9,0,5.9,5.1,3.1,8.2,68,115,0.5,0.17,0.67,0.5,0.67,0.98,0.51,1.49,0.84,1.36
vs Rennes,25,26.2,48.2,6,66,540,6.0,8,6,14,8,0,1,17,2,10.6,9.8,7.7,17.5,119,249,1.33,1.0,2.33,1.33,2.33,1.77,1.29,3.05,1.64,2.92
vs Strasbourg,24,26.9,50.5,6,66,540,6.0,7,4,11,7,0,0,13,0,6.9,6.9,5.0,11.9,92,205,1.17,0.67,1.83,1.17,1.83,1.15,0.84,1.99,1.15,1.99
vs Toulouse,21,25.5,58.2,6,66,540,6.0,11,5,16,8,3,3,9,1,8.3,6.0,4.8,10.9,96,230,1.83,0.83,2.67,1.33,2.17,1.39,0.8,2.19,1.01,1.81
