Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,6.0,12,1,0,6,0,10.7,0.43,-1.3,-0.22,30,94,31.9,179,22,38.5,36.7,50,50.0,38.1,90,6,6.7,9,1.5,12.4
vs Aston Villa,2,6.0,4,0,0,1,0,3.3,0.21,-0.7,-0.12,33,90,36.7,149,30,39.6,37.2,43,72.1,50.6,83,12,14.5,8,1.33,13.7
vs Bournemouth,1,7.0,11,1,1,0,0,7.9,0.23,-3.1,-0.44,41,114,36.0,234,34,36.3,35.6,58,50.0,39.4,112,8,7.1,14,2.0,15.5
vs Brentford,1,6.0,9,1,0,0,0,9.4,0.38,0.4,0.07,21,60,35.0,170,26,29.4,32.9,31,32.3,32.9,74,9,12.2,7,1.17,13.0
vs Brighton,1,6.0,9,2,0,1,0,10.0,0.32,1.0,0.16,46,125,36.8,235,30,40.9,36.2,56,51.8,42.6,52,10,19.2,13,2.17,14.1
vs Burnley,1,6.0,6,0,0,0,0,5.8,0.37,-0.2,-0.03,20,45,44.4,144,18,27.8,31.4,37,13.5,22.1,57,4,7.0,4,0.67,14.2
vs Chelsea,2,6.0,11,1,0,5,0,13.4,0.53,2.4,0.4,29,92,31.5,160,25,43.8,37.2,40,55.0,40.4,70,2,2.9,9,1.5,15.3
vs Crystal Palace,1,6.0,8,1,0,2,0,8.9,0.29,0.9,0.15,19,65,29.2,178,30,26.4,30.8,46,39.1,38.5,65,6,9.2,11,1.83,15.2
vs Everton,1,6.0,7,0,0,2,0,5.2,0.29,-1.8,-0.3,26,91,28.6,185,29,39.5,37.0,48,37.5,29.4,76,3,3.9,1,0.17,11.4
vs Fulham,1,7.0,8,0,0,2,2,6.1,0.32,0.1,0.01,22,91,24.2,206,31,35.9,35.8,51,33.3,30.3,108,4,3.7,6,0.86,14.4
vs Leeds United,2,6.0,6,1,1,2,0,5.1,0.22,-0.9,-0.14,25,64,39.1,169,31,27.8,30.3,40,42.5,37.4,64,6,9.4,7,1.17,14.6
vs Liverpool,1,6.0,12,1,1,0,0,9.6,0.31,-2.4,-0.39,35,151,23.2,173,26,58.4,44.8,67,74.6,54.5,95,6,6.3,13,2.17,15.9
vs Manchester City,2,6.0,14,0,0,0,2,10.1,0.36,-1.9,-0.31,34,102,33.3,175,16,42.3,35.3,48,58.3,46.2,56,3,5.4,8,1.33,16.7
vs Manchester Utd,1,6.0,7,1,0,1,2,7.3,0.23,2.3,0.38,30,108,27.8,159,26,41.5,35.9,59,71.2,51.5,98,4,4.1,3,0.5,10.9
vs Newcastle Utd,1,6.0,4,0,0,1,0,5.7,0.35,1.7,0.28,31,131,23.7,185,32,53.5,40.7,47,68.1,48.4,98,7,7.1,14,2.33,15.7
vs Nott'ham Forest,1,6.0,5,0,0,2,0,5.8,0.26,0.8,0.13,19,78,24.4,186,41,32.8,33.9,51,33.3,31.2,129,9,7.0,6,1.0,11.6
vs Sunderland,1,6.0,7,1,0,1,0,5.8,0.32,-1.2,-0.2,26,89,29.2,173,25,38.2,33.8,49,46.9,40.2,84,3,3.6,3,0.5,11.9
vs Tottenham,1,6.0,11,0,0,2,1,9.9,0.43,-0.1,-0.01,33,126,26.2,162,20,54.9,41.5,61,60.7,46.7,125,7,5.6,10,1.67,13.9
vs West Ham,2,6.0,6,1,0,1,0,6.9,0.24,0.9,0.14,27,73,37.0,154,24,40.9,36.5,41,24.4,25.9,84,3,3.6,4,0.67,11.0
vs Wolves,2,6.0,4,0,0,1,0,4.8,0.26,0.8,0.13,27,87,31.0,149,26,44.3,38.4,41,51.2,43.5,87,8,9.2,11,1.83,14.7
