Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,21,6.0,88,57,51,27,10,54,106,50.9,52,61,26,35,41,129,199,5
vs Aston Villa,22,6.0,123,75,64,41,18,58,89,65.2,31,66,22,44,55,178,193,4
vs Bournemouth,23,7.0,129,85,64,49,16,70,127,55.1,57,94,28,66,46,175,238,4
vs Brentford,20,6.0,104,60,48,38,18,54,98,55.1,44,33,12,21,45,149,178,4
vs Brighton,20,6.0,110,58,56,39,15,48,91,52.7,43,56,11,45,41,151,128,8
vs Burnley,20,6.0,75,45,36,21,18,29,56,51.8,27,53,13,40,29,104,140,1
vs Chelsea,24,6.0,115,70,54,47,14,55,101,54.5,46,66,32,34,48,163,174,5
vs Crystal Palace,20,6.0,65,38,23,30,12,18,45,40.0,27,55,16,39,54,119,145,4
vs Everton,19,6.0,105,53,61,29,15,49,96,51.0,47,62,23,39,46,151,166,4
vs Fulham,21,7.0,106,58,45,47,14,53,97,54.6,44,84,22,62,55,161,177,3
vs Leeds United,21,6.0,113,65,55,39,19,55,92,59.8,37,81,25,56,31,144,115,4
vs Liverpool,21,6.0,104,63,54,40,10,47,95,49.5,48,70,28,42,64,168,187,5
vs Manchester City,22,6.0,129,83,61,51,17,59,125,47.2,66,79,14,65,49,178,117,9
vs Manchester Utd,19,6.0,91,60,48,33,10,39,68,57.4,29,71,24,47,46,137,175,2
vs Newcastle Utd,21,6.0,86,49,42,39,5,44,79,55.7,35,64,21,43,65,151,178,2
vs Nott'ham Forest,23,6.0,90,53,44,28,18,47,86,54.7,39,65,24,41,41,131,183,2
vs Sunderland,23,6.0,80,47,36,32,12,28,58,48.3,30,70,18,52,25,105,158,3
vs Tottenham,19,6.0,123,65,64,43,16,71,135,52.6,64,58,13,45,42,165,205,2
vs West Ham,23,6.0,101,65,45,39,17,51,95,53.7,44,63,15,48,37,138,152,3
vs Wolves,23,6.0,93,61,35,45,13,38,76,50.0,38,55,16,39,52,145,174,4
