Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,21,6.0,97,16.17,74,6,8,3,5,1,6,1.0,5,0,0,0,1,0
vs Aston Villa,22,6.0,136,22.67,92,14,12,10,4,4,11,1.83,6,2,0,2,1,0
vs Bournemouth,23,7.0,122,17.43,94,10,6,8,2,2,14,2.0,10,1,1,2,0,0
vs Brentford,20,6.0,149,24.83,117,8,4,12,5,3,18,3.0,13,0,1,2,2,0
vs Brighton,20,6.0,125,20.83,89,10,10,6,7,3,14,2.33,9,0,2,2,1,0
vs Burnley,20,6.0,204,34.0,151,16,14,17,4,2,17,2.83,13,0,3,0,1,0
vs Chelsea,24,6.0,102,17.0,67,14,1,11,8,1,13,2.17,11,1,0,1,0,0
vs Crystal Palace,20,6.0,131,21.83,94,12,6,12,3,4,6,1.0,4,1,1,0,0,0
vs Everton,19,6.0,122,20.33,85,11,6,12,4,4,10,1.67,9,0,0,1,0,0
vs Fulham,21,7.0,115,16.43,82,13,5,6,5,4,16,2.29,12,1,1,1,1,0
vs Leeds United,21,6.0,122,20.33,86,11,9,6,9,1,15,2.5,9,2,1,1,2,0
vs Liverpool,21,6.0,103,17.17,68,9,7,9,9,1,13,2.17,9,0,1,0,2,1
vs Manchester City,22,6.0,116,19.33,86,6,7,9,4,4,10,1.67,7,0,1,1,0,1
vs Manchester Utd,19,6.0,96,16.0,64,11,7,7,3,4,19,3.17,13,1,3,1,0,1
vs Newcastle Utd,21,6.0,102,17.0,76,7,7,6,4,2,10,1.67,8,1,0,1,0,0
vs Nott'ham Forest,23,6.0,116,19.33,71,16,12,10,7,0,16,2.67,10,2,1,2,1,0
vs Sunderland,23,6.0,131,21.83,106,8,3,9,3,2,8,1.33,7,0,1,0,0,0
vs Tottenham,19,6.0,129,21.5,94,10,9,8,6,2,5,0.83,3,0,1,1,0,0
vs West Ham,23,6.0,139,23.17,108,17,4,7,3,0,25,4.17,20,2,1,2,0,0
vs Wolves,23,6.0,125,20.83,99,10,3,4,6,3,26,4.33,22,0,1,0,1,2
