Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,21,6.0,148,24.67,103,13,10,14,7,1,23,3.83,14,2,3,2,1,1
Aston Villa,22,6.0,110,18.33,90,8,1,4,5,2,7,1.17,7,0,0,0,0,0
Bournemouth,23,7.0,165,23.57,123,10,10,6,10,6,21,3.0,15,1,2,0,2,1
Brentford,20,6.0,80,13.33,50,15,6,5,3,1,13,2.17,9,2,1,1,0,0
Brighton,20,6.0,109,18.17,74,7,10,7,7,4,14,2.33,10,0,2,1,1,0
Burnley,20,6.0,86,14.33,59,10,3,7,7,0,10,1.67,7,0,1,2,0,0
Chelsea,24,6.0,138,23.0,99,11,9,10,5,4,20,3.33,14,3,1,2,0,0
Crystal Palace,20,6.0,125,20.83,85,16,5,12,6,1,15,2.5,11,1,0,1,1,1
Everton,19,6.0,130,21.67,92,13,9,6,9,1,14,2.33,14,0,0,0,0,0
Fulham,21,7.0,129,18.43,98,11,5,10,3,2,10,1.43,7,1,0,2,0,0
Leeds United,21,6.0,106,17.67,71,8,3,14,2,8,10,1.67,4,1,0,3,1,1
Liverpool,21,6.0,161,26.83,130,7,7,12,4,1,22,3.67,19,0,1,1,1,0
Manchester City,22,6.0,129,21.5,98,7,14,8,2,0,21,3.5,18,0,3,0,0,0
Manchester Utd,19,6.0,169,28.17,120,12,7,18,9,3,8,1.33,4,0,1,2,1,0
Newcastle Utd,21,6.0,114,19.0,87,12,5,2,5,3,8,1.33,5,0,1,0,2,0
Nott'ham Forest,23,6.0,137,22.83,113,7,5,9,0,3,10,1.67,8,0,2,0,0,0
Sunderland,23,6.0,105,17.5,65,15,6,11,5,3,12,2.0,8,1,0,1,2,0
Tottenham,19,6.0,118,19.67,85,12,8,8,3,2,18,3.0,13,1,2,1,0,1
West Ham,23,6.0,114,19.0,79,14,10,6,5,0,9,1.5,7,1,0,0,1,0
Wolves,23,6.0,109,18.17,82,11,7,3,4,2,7,1.17,6,0,0,1,0,0
