Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,21,6.0,9,0,0,65,57,8,122,40,54,1,0,0,235,82,85,49.1
Aston Villa,22,6.0,10,1,0,62,75,9,115,36,44,0,1,0,223,79,87,47.6
Bournemouth,23,7.0,16,0,0,80,77,15,145,56,75,1,0,0,325,103,118,46.6
Brentford,20,6.0,11,0,0,78,53,8,96,38,52,1,2,1,219,93,106,46.7
Brighton,20,6.0,18,0,0,83,72,12,68,45,76,1,1,1,244,71,89,44.4
Burnley,20,6.0,11,1,1,54,50,10,74,60,56,0,2,3,193,97,103,48.5
Chelsea,24,6.0,15,2,0,63,75,13,103,64,61,0,0,0,207,86,72,54.4
Crystal Palace,20,6.0,14,0,0,62,57,8,86,49,78,1,0,0,210,93,100,48.2
Everton,19,6.0,16,0,0,59,78,6,100,46,66,0,2,0,233,130,104,55.6
Fulham,21,7.0,16,0,0,98,81,14,143,43,67,0,3,1,262,83,101,45.1
Leeds United,21,6.0,8,0,0,63,74,7,84,51,73,0,1,1,226,81,104,43.8
Liverpool,21,6.0,13,0,0,57,64,6,115,42,49,0,0,0,228,124,84,59.6
Manchester City,22,6.0,8,0,0,51,65,5,73,41,50,0,1,0,232,81,62,56.6
Manchester Utd,19,6.0,7,1,1,60,74,10,118,39,71,3,0,0,239,105,113,48.2
Newcastle Utd,21,6.0,8,1,0,71,70,5,129,50,41,0,0,0,243,109,86,55.9
Nott'ham Forest,23,6.0,10,0,0,65,56,6,170,44,51,0,2,0,248,78,76,50.6
Sunderland,23,6.0,9,1,0,52,56,5,107,47,56,1,1,0,198,106,101,51.2
Tottenham,19,6.0,12,0,0,72,55,10,153,34,66,0,0,0,250,85,97,46.7
West Ham,23,6.0,8,1,0,62,48,7,109,35,44,1,0,0,214,106,106,50.0
Wolves,23,6.0,12,1,0,83,56,8,118,52,80,0,0,0,239,100,98,50.5
