Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,21,6.0,2395,2111,279,71,11,19,59,121,19,9,8,0,1870,5,47
vs Aston Villa,22,6.0,2226,1977,239,69,13,18,112,84,33,24,3,1,1735,10,50
vs Bournemouth,23,7.0,3175,2819,346,94,6,9,119,151,25,14,9,0,2438,10,71
vs Brentford,20,6.0,3172,2892,271,81,14,23,113,117,27,18,0,0,2600,9,64
vs Brighton,20,6.0,2978,2674,298,91,8,11,96,110,26,21,1,0,2422,6,61
vs Burnley,20,6.0,3917,3636,274,61,13,15,174,120,44,24,10,2,3317,7,66
vs Chelsea,24,6.0,2258,1971,277,70,10,16,99,120,30,15,5,0,1770,10,37
vs Crystal Palace,20,6.0,3439,3149,284,68,15,17,151,115,41,23,13,0,2884,6,59
vs Everton,19,6.0,3045,2746,285,61,10,12,93,139,24,10,11,0,2461,14,47
vs Fulham,21,7.0,3308,2961,331,108,13,24,108,122,35,26,3,2,2696,16,52
vs Leeds United,21,6.0,3343,3047,291,65,5,10,129,154,20,16,3,0,2769,5,51
vs Liverpool,21,6.0,1937,1648,281,58,7,7,94,109,29,17,9,1,1321,8,53
vs Manchester City,22,6.0,2661,2387,260,54,17,33,101,112,26,23,2,1,2124,14,42
vs Manchester Utd,19,6.0,2608,2316,281,67,16,16,84,117,25,14,6,0,2026,11,53
vs Newcastle Utd,21,6.0,2749,2474,269,72,13,12,96,110,30,21,4,0,2130,6,43
vs Nott'ham Forest,23,6.0,2503,2252,245,67,8,16,117,87,29,19,6,0,1953,6,55
vs Sunderland,23,6.0,3250,2983,261,55,10,11,145,112,32,21,5,0,2677,6,52
vs Tottenham,19,6.0,2296,1993,296,77,6,12,83,108,33,19,9,0,1770,7,44
vs West Ham,23,6.0,3037,2767,262,66,8,15,138,100,43,36,3,1,2479,8,50
vs Wolves,23,6.0,2926,2615,303,87,17,15,117,131,34,25,5,1,2370,8,53
