Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,21,6.0,1870,2395,78.1,32933,11782,877,993,88.3,724,853,84.9,198,400,49.5,2,3.4,2.4,-1.4,45,134,30,6,152
vs Aston Villa,22,6.0,1735,2226,77.9,31785,12148,784,881,89.0,721,835,86.3,193,390,49.5,3,7.1,4.9,-4.1,57,152,35,13,173
vs Bournemouth,23,7.0,2438,3175,76.8,45070,17873,1057,1205,87.7,1068,1277,83.6,267,534,50.0,6,5.4,3.9,0.6,51,201,48,13,231
vs Brentford,20,6.0,2600,3172,82.0,44417,14931,1262,1390,90.8,1060,1222,86.7,228,422,54.0,6,5.6,5.1,0.4,59,220,52,18,242
vs Brighton,20,6.0,2422,2978,81.3,42597,15334,1132,1268,89.3,1010,1138,88.8,233,440,53.0,5,5.7,5.2,-0.7,51,187,40,7,212
vs Burnley,20,6.0,3317,3917,84.7,54008,16227,1699,1843,92.2,1321,1489,88.7,230,411,56.0,6,8.5,7.8,-2.5,86,302,73,28,316
vs Chelsea,24,6.0,1770,2258,78.4,32117,11967,749,860,87.1,786,912,86.2,188,366,51.4,8,6.7,4.8,1.3,44,141,41,17,173
vs Crystal Palace,20,6.0,2884,3439,83.9,52548,15863,1159,1262,91.8,1422,1558,91.3,254,470,54.0,2,5.0,5.5,-3.0,52,257,50,13,289
vs Everton,19,6.0,2461,3045,80.8,41801,13596,1163,1303,89.3,1031,1166,88.4,191,406,47.0,4,4.9,4.3,-0.9,52,182,49,16,225
vs Fulham,21,7.0,2696,3308,81.5,48643,17073,1149,1270,90.5,1233,1393,88.5,252,486,51.9,7,5.0,4.9,2.0,48,232,45,6,261
vs Leeds United,21,6.0,2769,3343,82.8,51249,16195,1108,1250,88.6,1358,1527,88.9,274,461,59.4,6,4.7,4.3,1.3,48,235,51,23,253
vs Liverpool,21,6.0,1321,1937,68.2,24584,9563,587,706,83.1,525,656,80.0,169,446,37.9,5,5.4,3.8,-0.4,42,102,41,14,148
vs Manchester City,22,6.0,2124,2661,79.8,39488,13217,930,1051,88.5,936,1071,87.4,226,431,52.4,4,4.2,4.2,-0.2,47,172,44,11,181
vs Manchester Utd,19,6.0,2026,2608,77.7,34563,12866,984,1110,88.6,794,945,84.0,185,391,47.3,8,6.8,6.3,1.2,38,141,41,7,178
vs Newcastle Utd,21,6.0,2130,2749,77.5,37618,12700,949,1074,88.4,928,1076,86.2,194,465,41.7,5,3.8,3.6,1.2,43,170,47,9,217
vs Nott'ham Forest,23,6.0,1953,2503,78.0,34394,12345,873,982,88.9,829,975,85.0,195,401,48.6,7,6.6,4.8,0.4,52,137,41,13,185
vs Sunderland,23,6.0,2677,3250,82.4,46259,14541,1200,1305,92.0,1218,1368,89.0,210,441,47.6,4,4.5,4.9,-0.5,48,232,58,22,279
vs Tottenham,19,6.0,1770,2296,77.1,31533,11967,786,881,89.2,762,889,85.7,172,401,42.9,2,5.5,4.5,-3.5,53,131,37,11,168
vs West Ham,23,6.0,2479,3037,81.6,43392,14511,1114,1237,90.1,1124,1267,88.7,202,411,49.1,10,6.6,5.4,3.4,55,206,47,11,239
vs Wolves,23,6.0,2370,2926,81.0,42261,14472,1048,1166,89.9,1091,1236,88.3,205,415,49.4,10,7.4,6.3,2.6,52,213,50,13,248
