Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,21,44.0,6.0,3068,475,1289,1242,566,91,3068,87,38,43.7,36,41.4,1690,8495,4483,92,58,30,79,54,1857,151
vs Aston Villa,22,42.3,6.0,2948,367,1040,1194,746,155,2947,88,40,45.5,28,31.8,1573,8109,3971,97,60,36,86,45,1719,172
vs Bournemouth,23,49.1,7.0,4053,528,1512,1681,905,155,4053,140,62,44.3,57,40.7,2055,10783,5298,106,61,37,109,69,2415,227
vs Brentford,20,59.5,6.0,3854,339,1086,1864,933,154,3852,89,35,39.3,43,48.3,2239,11550,6343,120,72,26,97,58,2573,238
vs Brighton,20,55.0,6.0,3637,410,1221,1553,892,140,3636,142,57,40.1,60,42.3,2250,11026,5343,110,81,35,80,59,2404,212
vs Burnley,20,66.2,6.0,4536,311,1070,2053,1449,211,4534,93,48,51.6,38,40.9,2958,15406,8616,194,131,57,76,57,3287,314
vs Chelsea,24,39.0,6.0,2974,395,1098,1247,670,109,2974,104,36,34.6,52,50.0,1564,8326,4212,81,54,23,79,51,1754,170
vs Crystal Palace,20,60.0,6.0,4082,336,1061,2104,956,130,4082,129,56,43.4,59,45.7,2353,11952,6208,98,86,19,76,59,2859,287
vs Everton,19,54.5,6.0,3753,406,1261,1645,878,133,3751,96,33,34.4,48,50.0,2047,10270,5200,83,59,21,85,51,2425,224
vs Fulham,21,49.4,7.0,4115,424,1420,1784,948,148,4112,107,35,32.7,57,53.3,2251,11905,6080,119,78,39,120,66,2667,259
vs Leeds United,21,56.5,6.0,4026,364,1265,1855,938,126,4025,128,49,38.3,63,49.2,2344,12082,6350,110,81,18,87,53,2749,250
vs Liverpool,21,36.0,6.0,2643,420,975,1044,653,133,2643,90,39,43.3,39,43.3,1194,6676,3337,78,55,23,75,36,1306,143
vs Manchester City,22,45.0,6.0,3355,400,1109,1439,837,138,3354,83,34,41.0,42,50.6,1773,9293,4494,99,66,25,106,45,2108,181
vs Manchester Utd,19,46.5,6.0,3344,444,1182,1485,709,132,3344,108,35,32.4,62,57.4,1717,8100,3977,85,47,24,101,53,2009,173
vs Newcastle Utd,21,51.2,6.0,3432,400,1146,1557,765,124,3432,98,46,46.9,38,38.8,1897,9195,4572,76,67,23,97,35,2107,215
vs Nott'ham Forest,23,42.7,6.0,3169,464,1270,1241,689,135,3167,102,47,46.1,43,42.2,1744,10077,6299,103,65,24,68,39,1921,180
vs Sunderland,23,57.2,6.0,3924,373,1209,1654,1094,144,3923,97,29,29.9,53,54.6,2169,10981,5580,96,80,12,80,50,2648,274
vs Tottenham,19,42.5,6.0,3050,451,1158,1213,715,122,3050,105,42,40.0,46,43.8,1555,7272,3532,69,52,25,90,65,1759,167
vs West Ham,23,52.0,6.0,3674,342,1076,1688,942,161,3674,71,31,43.7,32,45.1,2072,10537,5913,111,75,27,78,45,2452,236
vs Wolves,23,51.8,6.0,3671,351,1074,1663,974,137,3671,137,56,40.9,71,51.8,1982,10530,5140,101,84,28,107,73,2354,247
