Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,21,56.0,6.0,3759,349,1074,1688,1034,193,3758,120,52,43.3,54,45.0,2133,12157,6340,129,92,35,98,34,2515,243
Aston Villa,22,57.7,6.0,3638,413,1065,1626,974,133,3638,105,31,29.5,58,55.2,2269,11255,5629,98,66,20,80,65,2426,246
Bournemouth,23,50.9,7.0,4205,391,1262,1866,1123,178,4204,148,57,38.5,70,47.3,2208,11574,6201,115,103,34,95,59,2547,265
Brentford,20,40.5,6.0,2902,419,1178,1185,574,113,2900,109,44,40.4,54,49.5,1344,7435,3735,78,50,28,98,50,1592,137
Brighton,20,45.0,6.0,3162,404,1200,1300,700,125,3159,103,43,41.7,48,46.6,1813,9577,5081,93,47,36,103,62,1924,176
Burnley,20,33.8,6.0,2758,467,1072,1110,599,90,2758,64,27,42.2,29,45.3,1291,5545,2922,46,29,14,72,46,1440,135
Chelsea,24,61.0,6.0,4131,371,1201,2063,896,143,4130,120,46,38.3,55,45.8,2479,11600,6118,114,55,33,88,60,2950,239
Crystal Palace,20,40.0,6.0,2999,434,1165,1260,602,123,2998,56,27,48.2,18,32.1,1462,7116,3959,62,47,11,73,47,1761,174
Everton,19,45.5,6.0,3259,361,1098,1294,899,146,3259,123,47,38.2,49,39.8,1763,8656,4139,93,75,33,100,56,1921,207
Fulham,21,50.6,7.0,4147,520,1511,1717,959,153,4147,111,44,39.6,53,47.7,2531,12727,6567,129,90,23,114,53,2707,247
Leeds United,21,43.5,6.0,3269,395,1157,1480,674,113,3268,108,37,34.3,55,50.9,1666,8826,4462,82,62,28,81,58,2004,159
Liverpool,21,64.0,6.0,4224,381,1261,1896,1100,165,4223,108,48,44.4,47,43.5,2438,12471,6921,148,96,42,88,57,2898,290
Manchester City,22,55.0,6.0,3941,419,1224,1761,981,165,3941,141,66,46.8,59,41.8,2359,12109,6113,147,86,53,86,70,2735,234
Manchester Utd,19,53.5,6.0,3644,342,1055,1683,934,154,3641,76,29,38.2,39,51.3,2025,10313,5540,126,76,34,85,52,2335,254
Newcastle Utd,21,48.8,6.0,3333,358,1103,1376,891,132,3333,95,35,36.8,44,46.3,1836,8956,4485,93,63,29,83,42,2008,233
Nott'ham Forest,23,57.3,6.0,4045,350,1128,1789,1162,146,4045,99,39,39.4,47,47.5,2173,11609,6497,128,96,30,89,43,2819,297
Sunderland,23,43.0,6.0,3186,380,1113,1433,674,97,3185,61,30,49.2,28,45.9,1838,9286,4876,77,59,13,57,52,1932,171
Tottenham,19,57.5,6.0,3795,418,1243,1614,976,167,3795,151,64,42.4,71,47.0,2149,12413,6087,124,87,27,119,52,2492,236
West Ham,23,48.2,6.0,3439,415,1190,1496,784,116,3438,114,44,38.6,51,44.7,1831,9917,5064,77,76,17,73,50,2221,200
Wolves,23,48.2,6.0,3472,413,1222,1569,723,126,3472,82,38,46.3,38,46.3,1819,9023,4212,69,57,12,94,55,2146,177
