Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,21,6.0,3,52,18,34.6,8.67,3.0,0.06,0.17,17.7,2,0,0,3.9,3.9,0.08,-0.9,-0.9
vs Aston Villa,22,6.0,6,75,17,22.7,12.5,2.83,0.07,0.29,16.9,0,1,1,9.3,8.6,0.12,-3.3,-3.6
vs Bournemouth,23,7.0,8,71,27,38.0,10.14,3.86,0.11,0.3,16.9,1,0,0,6.3,6.3,0.09,1.7,1.7
vs Brentford,20,6.0,10,82,23,28.0,13.67,3.83,0.11,0.39,17.8,1,1,2,8.8,7.3,0.09,1.2,1.7
vs Brighton,20,6.0,8,66,18,27.3,11.0,3.0,0.11,0.39,16.2,4,1,1,8.5,7.7,0.12,-0.5,-0.7
vs Burnley,20,6.0,10,114,31,27.2,19.0,5.17,0.07,0.26,16.7,1,2,2,12.3,10.7,0.1,-2.3,-2.7
vs Chelsea,24,6.0,8,64,20,31.3,10.67,3.33,0.13,0.4,16.5,5,0,0,7.8,7.8,0.12,0.2,0.2
vs Crystal Palace,20,6.0,3,75,14,18.7,12.5,2.33,0.04,0.21,15.5,2,0,0,6.7,6.7,0.09,-3.7,-3.7
vs Everton,19,6.0,6,76,16,21.1,12.67,2.67,0.07,0.31,18.4,2,1,2,8.0,6.6,0.09,-2.0,-1.6
vs Fulham,21,7.0,10,68,27,39.7,9.71,3.86,0.12,0.3,17.3,1,2,3,8.8,6.5,0.1,1.2,1.5
vs Leeds United,21,6.0,8,65,21,32.3,10.83,3.5,0.11,0.33,16.6,3,1,1,7.3,6.5,0.1,0.7,0.5
vs Liverpool,21,6.0,7,59,16,27.1,9.83,2.67,0.12,0.44,15.7,4,0,0,6.9,6.9,0.12,0.1,0.1
vs Manchester City,22,6.0,6,65,21,32.3,10.83,3.5,0.08,0.24,16.1,1,1,1,6.4,5.6,0.09,-0.4,-0.6
vs Manchester Utd,19,6.0,11,56,24,42.9,9.33,4.0,0.2,0.46,13.9,2,0,0,9.2,9.2,0.17,1.8,1.8
vs Newcastle Utd,21,6.0,5,57,20,35.1,9.5,3.33,0.09,0.25,17.5,3,0,0,4.5,4.5,0.08,0.5,0.5
vs Nott'ham Forest,23,6.0,10,67,26,38.8,11.17,4.33,0.12,0.31,14.2,1,2,2,9.3,7.7,0.12,0.7,0.3
vs Sunderland,23,6.0,4,73,22,30.1,12.17,3.67,0.05,0.18,17.5,0,0,1,6.9,6.1,0.09,-2.9,-2.1
vs Tottenham,19,6.0,4,72,25,34.7,12.0,4.17,0.06,0.16,18.0,3,0,0,7.1,7.1,0.1,-3.1,-3.1
vs West Ham,23,6.0,14,77,29,37.7,12.83,4.83,0.18,0.48,13.9,1,0,0,8.3,8.3,0.11,5.7,5.7
vs Wolves,23,6.0,13,71,23,32.4,11.83,3.83,0.18,0.57,18.3,4,0,0,8.5,8.5,0.12,4.5,4.5
