Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,21,26.6,44.0,6,66,540,6.0,3,2,5,3,0,0,10,0,3.9,3.9,3.4,7.3,92,152,0.5,0.33,0.83,0.5,0.83,0.65,0.56,1.21,0.65,1.21
vs Aston Villa,22,27.2,42.3,6,66,540,6.0,6,3,9,5,1,1,14,1,9.3,8.6,7.1,15.6,97,173,1.0,0.5,1.5,0.83,1.33,1.56,1.18,2.73,1.43,2.6
vs Bournemouth,23,27.1,49.1,7,77,630,7.0,8,6,14,8,0,0,15,1,6.3,6.3,5.4,11.7,106,231,1.14,0.86,2.0,1.14,2.0,0.91,0.76,1.67,0.91,1.67
vs Brentford,20,26.6,59.5,6,66,540,6.0,10,6,16,9,1,2,14,0,8.8,7.3,5.6,12.8,120,242,1.67,1.0,2.67,1.5,2.5,1.47,0.93,2.4,1.21,2.14
vs Brighton,20,26.3,55.0,6,66,540,6.0,8,5,13,7,1,1,18,1,8.5,7.7,5.7,13.5,110,212,1.33,0.83,2.17,1.17,2.0,1.42,0.95,2.38,1.29,2.24
vs Burnley,20,25.9,66.2,6,66,540,6.0,10,6,16,8,2,2,6,0,12.3,10.7,8.5,19.2,194,316,1.67,1.0,2.67,1.33,2.33,2.04,1.41,3.46,1.79,3.21
vs Chelsea,24,26.9,39.0,6,66,540,6.0,8,8,16,8,0,0,15,1,7.8,7.8,6.7,14.5,81,173,1.33,1.33,2.67,1.33,2.67,1.29,1.12,2.41,1.29,2.41
vs Crystal Palace,20,26.6,60.0,6,66,540,6.0,3,2,5,3,0,0,14,0,6.7,6.7,5.0,11.7,98,289,0.5,0.33,0.83,0.5,0.83,1.12,0.84,1.95,1.12,1.95
vs Everton,19,26.9,54.5,6,66,540,6.0,6,4,10,5,1,2,12,0,8.0,6.6,4.9,11.5,83,225,1.0,0.67,1.67,0.83,1.5,1.34,0.81,2.15,1.1,1.91
vs Fulham,21,26.0,49.4,7,77,630,7.0,10,7,17,8,2,3,10,0,8.8,6.5,5.0,11.5,119,261,1.43,1.0,2.43,1.14,2.14,1.26,0.71,1.98,0.93,1.64
vs Leeds United,21,26.8,56.5,6,66,540,6.0,8,6,14,7,1,1,7,0,7.3,6.5,4.7,11.2,110,253,1.33,1.0,2.33,1.17,2.17,1.22,0.78,1.99,1.09,1.86
vs Liverpool,21,27.3,36.0,6,66,540,6.0,7,5,12,7,0,0,12,2,6.9,6.9,5.4,12.3,78,148,1.17,0.83,2.0,1.17,2.0,1.15,0.91,2.06,1.15,2.06
vs Manchester City,22,26.7,45.0,6,66,540,6.0,6,4,10,5,1,1,11,0,6.4,5.6,4.2,9.9,99,181,1.0,0.67,1.67,0.83,1.5,1.07,0.71,1.77,0.94,1.65
vs Manchester Utd,19,26.1,46.5,6,66,540,6.0,11,8,19,11,0,0,17,1,9.2,9.2,6.8,16.0,85,178,1.83,1.33,3.17,1.83,3.17,1.53,1.13,2.67,1.53,2.67
vs Newcastle Utd,21,26.8,51.2,6,66,540,6.0,5,5,10,5,0,0,12,1,4.5,4.5,3.8,8.3,76,217,0.83,0.83,1.67,0.83,1.67,0.75,0.63,1.38,0.75,1.38
vs Nott'ham Forest,23,26.2,42.7,6,66,540,6.0,10,7,17,8,2,2,9,0,9.3,7.7,6.6,14.4,103,185,1.67,1.17,2.83,1.33,2.5,1.54,1.11,2.65,1.29,2.4
vs Sunderland,23,27.1,57.2,6,66,540,6.0,4,4,8,4,0,1,9,0,6.9,6.1,4.5,10.6,96,279,0.67,0.67,1.33,0.67,1.33,1.14,0.75,1.89,1.01,1.76
vs Tottenham,19,26.6,42.5,6,66,540,6.0,4,2,6,4,0,0,8,1,7.1,7.1,5.5,12.6,69,168,0.67,0.33,1.0,0.67,1.0,1.18,0.92,2.1,1.18,2.1
vs West Ham,23,26.1,52.0,6,66,540,6.0,14,10,24,14,0,0,8,0,8.3,8.3,6.6,14.9,111,239,2.33,1.67,4.0,2.33,4.0,1.38,1.1,2.48,1.38,2.48
vs Wolves,23,27.2,51.8,6,66,540,6.0,13,10,23,13,0,0,10,0,8.5,8.5,7.4,15.8,101,248,2.17,1.67,3.83,2.17,3.83,1.41,1.23,2.64,1.41,2.64
