Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arouca,2,34.0,35,6,2,1,1,41.3,0.27,7.3,0.21,134,378,35.4,848,165,29.8,32.1,262,47.7,40.4,501,31,6.2,46,1.35,14.5
vs AVS Futebol,2,34.0,25,4,0,5,0,29.9,0.3,4.9,0.15,116,349,33.2,805,127,31.3,32.5,243,39.9,37.0,429,27,6.3,37,1.09,15.2
vs Benfica,2,34.0,84,11,0,12,3,77.3,0.31,-3.7,-0.11,187,506,37.0,877,154,38.5,36.0,323,52.0,41.8,560,36,6.4,38,1.12,12.9
vs Boavista,4,34.0,24,7,0,3,1,32.0,0.26,9.0,0.26,131,356,36.8,879,154,30.6,32.4,247,35.2,35.4,470,30,6.4,29,0.85,13.8
vs Braga,2,34.0,55,5,1,8,1,54.2,0.31,0.2,0.01,165,477,34.6,945,148,36.5,34.0,289,45.7,39.6,585,34,5.8,24,0.71,11.9
vs Casa Pia,3,34.0,39,4,0,6,3,40.1,0.37,4.1,0.12,144,410,35.1,798,138,34.5,34.3,230,58.7,44.6,387,27,7.0,43,1.26,15.1
vs Estoril,3,34.0,48,6,1,4,1,42.5,0.32,-4.5,-0.13,161,513,31.4,940,113,41.3,37.3,255,49.0,39.1,355,14,3.9,41,1.21,15.7
vs Estrela,4,34.0,24,2,1,1,1,25.2,0.25,2.2,0.07,135,405,33.3,706,132,37.1,34.7,249,57.4,45.2,383,23,6.0,41,1.21,14.8
vs Famalicão,3,34.0,44,5,1,3,1,43.0,0.3,0.0,0.0,137,364,37.6,791,128,31.4,33.4,271,42.8,39.1,507,25,4.9,29,0.85,13.2
vs Farense,2,34.0,25,2,0,3,0,28.7,0.23,3.7,0.11,147,430,34.2,785,143,36.9,35.4,262,53.4,41.9,493,44,8.9,23,0.68,11.3
vs Gil Vicente FC,2,34.0,34,4,0,7,1,33.5,0.31,0.5,0.01,125,385,32.5,767,133,32.3,33.1,241,56.8,43.6,361,21,5.8,35,1.03,15.7
vs Moreirense,3,34.0,42,5,0,4,1,37.4,0.26,-3.6,-0.11,106,354,29.9,822,140,28.0,31.0,225,55.1,45.2,367,29,7.9,31,0.91,14.4
vs Nacional,2,34.0,32,3,0,7,1,39.3,0.26,8.3,0.24,129,385,33.5,697,176,35.6,35.0,293,46.8,40.8,497,28,5.6,27,0.79,12.9
vs Porto,2,34.0,65,9,0,6,0,60.3,0.3,-4.7,-0.14,157,477,32.9,756,135,38.9,36.6,312,58.7,45.0,533,28,5.3,28,0.82,12.3
vs Rio Ave,3,34.0,39,3,1,4,0,39.3,0.29,0.3,0.01,137,349,39.3,778,110,32.4,32.8,222,43.7,37.5,387,21,5.4,46,1.35,16.5
vs Santa Clara,1,34.0,36,2,1,5,1,39.7,0.31,4.7,0.14,112,374,29.9,771,144,32.4,33.0,259,47.9,39.4,424,23,5.4,37,1.09,14.7
vs Sporting CP,3,34.0,88,13,2,7,2,76.9,0.3,-9.1,-0.27,200,543,36.8,784,131,43.2,38.2,332,61.4,45.7,480,20,4.2,22,0.65,11.5
vs Vitória,1,34.0,47,3,1,9,4,47.6,0.33,4.6,0.13,144,476,30.3,873,144,34.1,34.2,306,58.2,44.4,639,31,4.9,37,1.09,12.7
