Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arouca,2,34.0,49,9,1,9,2,46.1,0.28,-0.9,-0.03,132,316,41.8,809,149,26.8,29.0,294,33.7,31.3,515,31,6.0,50,1.47,15.1
AVS Futebol,2,34.0,60,3,1,8,1,60.5,0.34,1.5,0.04,188,447,42.1,770,135,39.0,35.6,312,47.1,39.5,528,16,3.0,24,0.71,14.0
Benfica,2,34.0,28,2,1,2,0,34.5,0.3,6.5,0.19,75,202,37.1,681,148,19.4,27.3,216,32.4,33.0,300,24,8.0,19,0.56,12.2
Boavista,4,34.0,59,6,0,6,3,57.1,0.31,1.1,0.03,194,546,35.5,579,128,56.1,38.4,321,68.8,48.6,507,30,5.9,25,0.74,14.0
Braga,2,34.0,30,3,1,3,1,31.0,0.23,2.0,0.06,104,376,27.7,1013,163,29.3,31.9,201,39.3,36.7,385,25,6.5,59,1.74,17.4
Casa Pia,3,34.0,44,7,0,3,1,45.4,0.26,2.4,0.07,120,454,26.4,889,164,37.3,32.7,282,43.3,35.7,502,38,7.6,27,0.79,8.3
Estoril,3,34.0,53,7,0,3,0,56.1,0.34,3.1,0.09,173,576,30.0,751,128,51.7,27.2,257,73.2,52.4,467,22,4.7,56,1.65,9.4
Estrela,4,34.0,50,5,1,9,2,49.1,0.3,1.1,0.03,179,544,32.9,801,138,43.3,36.3,282,69.9,52.0,481,15,3.1,30,0.88,13.3
Famalicão,3,34.0,39,4,0,3,1,47.0,0.31,9.0,0.27,130,365,35.6,753,139,34.7,32.6,257,40.5,34.3,476,25,5.3,27,0.79,14.6
Farense,2,34.0,46,6,1,3,2,47.2,0.3,3.2,0.09,186,567,32.8,794,142,45.1,40.4,319,65.5,50.6,568,36,6.3,25,0.74,11.9
Gil Vicente FC,2,34.0,47,6,1,12,1,44.0,0.32,-2.0,-0.06,134,366,36.6,992,161,25.4,31.5,286,39.9,38.7,502,36,7.2,36,1.06,13.5
Moreirense,3,34.0,50,5,1,6,0,46.7,0.31,-3.3,-0.1,167,508,32.9,901,147,39.4,26.5,274,55.8,42.6,564,41,7.3,30,0.88,13.0
Nacional,2,34.0,50,9,0,8,0,51.7,0.29,1.7,0.05,172,496,34.7,692,110,40.8,36.8,316,67.7,48.1,528,33,6.3,26,0.76,11.4
Porto,2,34.0,30,6,1,4,1,32.5,0.28,3.5,0.1,136,315,43.2,1086,145,23.8,24.7,183,31.1,32.5,324,21,6.5,53,1.56,15.1
Rio Ave,3,34.0,55,3,0,5,5,53.1,0.31,3.1,0.09,135,454,29.7,928,164,32.4,32.3,312,49.0,42.5,533,22,4.1,29,0.85,12.0
Santa Clara,1,34.0,32,4,1,5,0,29.1,0.22,-2.9,-0.09,164,518,31.7,732,118,47.8,39.6,289,58.1,47.3,453,39,8.6,27,0.79,12.5
Sporting CP,3,34.0,27,4,1,1,2,24.2,0.29,-0.8,-0.02,63,170,37.1,584,116,19.5,30.1,177,31.6,31.4,336,17,5.1,36,1.06,19.4
Vitória,1,34.0,37,5,0,5,0,32.9,0.3,-4.1,-0.12,115,311,37.0,867,120,24.2,30.6,243,41.6,37.8,389,21,5.4,35,1.03,14.8
