Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alverca,25,7.0,116,82,68,42,6,50,95,52.6,45,70,24,46,58,174,215,7
Arouca,22,7.0,93,61,46,35,12,46,100,46.0,54,71,26,45,42,135,197,5
AVS Futebol,25,7.0,111,71,60,38,13,49,91,53.8,42,64,21,43,58,169,194,4
Benfica,24,7.0,115,64,50,42,23,65,135,48.1,70,49,15,34,51,166,148,6
Braga,23,7.0,91,48,19,46,26,38,83,45.8,45,68,13,55,46,137,161,4
Casa Pia,25,8.0,143,98,74,56,13,79,139,56.8,60,90,30,60,54,197,241,8
Estoril,20,8.0,117,77,66,39,12,61,120,50.8,59,68,19,49,54,171,232,6
Estrela,27,7.0,100,65,49,42,9,55,89,61.8,34,70,24,46,46,146,203,4
Famalicão,21,7.0,120,68,49,57,14,69,126,54.8,57,59,19,40,44,164,219,3
Gil Vicente FC,21,7.0,117,77,61,45,11,59,112,52.7,53,64,12,52,46,163,196,3
Moreirense,23,7.0,107,61,55,38,14,72,132,54.5,60,66,25,41,64,171,228,5
Nacional,22,7.0,110,65,56,44,10,55,93,59.1,38,95,32,63,79,189,225,5
Porto,23,7.0,82,58,27,41,14,38,84,45.2,46,87,29,58,50,132,128,6
Rio Ave,25,7.0,107,67,63,37,7,44,91,48.4,47,84,31,53,58,165,276,5
Santa Clara,22,7.0,86,55,36,40,10,41,83,49.4,42,62,7,55,49,135,187,3
Sporting CP,22,7.0,111,75,42,45,24,58,104,55.8,46,66,16,50,40,151,112,3
Tondela,25,7.0,132,81,60,60,12,77,151,51.0,74,93,27,66,72,204,187,0
Vitória,27,7.0,98,58,44,39,15,55,97,56.7,42,59,18,41,55,153,170,6
