Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alverca,25,7.0,167,23.86,110,22,9,11,14,1,19,2.71,10,1,2,3,3,0
vs Arouca,22,7.0,182,26.0,120,18,15,11,14,4,32,4.57,26,0,1,2,2,1
vs AVS Futebol,25,7.0,176,25.14,139,10,9,9,8,1,31,4.43,23,2,2,2,2,0
vs Benfica,24,7.0,128,18.29,78,12,15,11,11,1,8,1.14,6,1,0,0,1,0
vs Braga,23,7.0,106,15.14,73,8,9,11,3,2,13,1.86,10,1,0,1,1,0
vs Casa Pia,25,8.0,176,22.0,112,22,9,18,11,4,18,2.25,9,2,2,2,1,2
vs Estoril,20,8.0,173,21.62,116,18,12,14,10,3,21,2.62,10,1,1,4,4,1
vs Estrela,27,7.0,143,20.43,101,17,6,9,8,2,11,1.57,8,1,0,0,2,0
vs Famalicão,21,7.0,133,19.0,84,19,10,8,8,4,6,0.86,4,0,0,1,1,0
vs Gil Vicente FC,21,7.0,137,19.57,82,22,6,7,18,2,8,1.14,5,1,0,1,1,0
vs Moreirense,23,7.0,164,23.43,111,14,11,11,15,2,12,1.71,7,0,2,0,3,0
vs Nacional,22,7.0,164,23.43,114,13,6,15,15,1,17,2.43,15,1,0,0,1,0
vs Porto,23,7.0,128,18.29,89,11,6,9,8,5,0,0.0,0,0,0,0,0,0
vs Rio Ave,25,7.0,231,33.0,183,21,6,14,3,4,24,3.43,17,3,3,1,0,0
vs Santa Clara,22,7.0,112,16.0,95,6,3,1,5,2,14,2.0,11,1,1,1,0,0
vs Sporting CP,22,7.0,83,11.86,53,13,9,2,4,2,6,0.86,4,2,0,0,0,0
vs Tondela,25,7.0,170,24.29,122,11,16,13,7,1,19,2.71,12,2,2,1,2,0
vs Vitória,27,7.0,144,20.57,100,14,6,11,9,4,15,2.14,7,1,2,4,1,0
