Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alverca,2,7,7,630,7.0,8,1.14,23,16,73.9,4,1,2,1,14.3,2,2,0,0,0.0
vs Arouca,1,7,7,630,7.0,9,1.29,23,14,60.9,3,2,2,3,42.9,0,0,0,0,
vs AVS Futebol,1,7,7,630,7.0,4,0.57,17,13,76.5,6,1,0,4,57.1,1,0,0,1,
vs Benfica,2,7,7,630,7.0,13,1.86,38,25,73.7,0,2,5,0,0.0,3,3,0,0,0.0
vs Braga,1,7,7,630,7.0,11,1.57,37,26,78.4,2,3,2,2,28.6,3,3,0,0,0.0
vs Casa Pia,2,8,8,720,8.0,8,1.0,26,18,73.1,4,2,2,3,37.5,1,1,0,0,0.0
vs Estoril,1,8,8,720,8.0,10,1.25,30,21,66.7,4,3,1,3,37.5,0,0,0,0,
vs Estrela,1,7,7,630,7.0,6,0.86,23,17,73.9,2,4,1,4,57.1,1,0,0,1,
vs Famalicão,1,7,7,630,7.0,7,1.0,22,15,68.2,1,3,3,2,28.6,0,0,0,0,
vs Gil Vicente FC,1,7,7,630,7.0,8,1.14,30,22,76.7,2,1,4,2,28.6,1,1,0,0,0.0
vs Moreirense,2,7,7,630,7.0,10,1.43,22,12,54.5,2,0,5,2,28.6,0,0,0,0,
vs Nacional,2,7,7,630,7.0,6,0.86,24,17,79.2,4,1,2,2,28.6,2,1,1,0,50.0
vs Porto,1,7,7,630,7.0,19,2.71,44,25,59.1,0,0,7,0,0.0,1,1,0,0,0.0
vs Rio Ave,1,7,7,630,7.0,8,1.14,29,21,75.9,2,5,0,2,28.6,1,1,0,0,0.0
vs Santa Clara,1,7,7,630,7.0,5,0.71,28,23,92.9,3,2,2,3,42.9,3,3,0,0,0.0
vs Sporting CP,2,7,7,630,7.0,19,2.71,48,30,66.7,1,0,6,0,0.0,3,3,0,0,0.0
vs Tondela,1,7,7,630,7.0,4,0.57,34,28,91.2,4,2,1,5,71.4,3,1,2,0,66.7
vs Vitória,2,7,7,630,7.0,7,1.0,25,17,76.0,3,2,2,3,42.9,2,1,1,0,50.0
