Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alverca,2,7,7,630,7.0,11,1.57,32,20,71.9,2,1,4,2,28.6,4,2,1,1,33.3
Arouca,1,7,7,630,7.0,18,2.57,36,17,55.6,2,2,3,0,0.0,3,2,1,0,33.3
AVS Futebol,1,7,7,630,7.0,17,2.43,33,16,54.5,0,1,6,0,0.0,2,2,0,0,0.0
Benfica,2,7,7,630,7.0,4,0.57,28,24,85.7,5,2,0,3,42.9,0,0,0,0,
Braga,1,7,7,630,7.0,7,1.0,23,15,73.9,2,3,2,2,28.6,2,1,1,0,50.0
Casa Pia,2,8,8,720,8.0,13,1.62,34,21,61.8,2,2,4,2,25.0,1,0,0,1,
Estoril,1,8,8,720,8.0,13,1.62,31,18,71.0,1,3,4,0,0.0,4,4,0,0,0.0
Estrela,1,7,7,630,7.0,6,0.86,27,21,81.5,1,4,2,3,42.9,1,1,0,0,0.0
Famalicão,1,7,7,630,7.0,3,0.43,27,24,92.6,3,3,1,5,71.4,1,1,0,0,0.0
Gil Vicente FC,1,7,7,630,7.0,4,0.57,23,19,87.0,4,1,2,5,71.4,1,1,0,0,0.0
Moreirense,2,7,7,630,7.0,8,1.14,34,26,85.3,5,0,2,2,28.6,3,3,0,0,0.0
Nacional,2,7,7,630,7.0,10,1.43,29,19,69.0,2,1,4,2,28.6,1,1,0,0,0.0
Porto,1,7,7,630,7.0,1,0.14,12,12,91.7,7,0,0,6,85.7,0,0,0,0,
Rio Ave,1,7,7,630,7.0,13,1.86,47,34,72.3,0,5,2,1,14.3,0,0,0,0,
Santa Clara,1,7,7,630,7.0,8,1.14,24,15,66.7,2,2,3,2,28.6,1,0,1,0,100.0
Sporting CP,2,7,7,630,7.0,4,0.57,17,13,76.5,6,0,1,4,57.1,0,0,0,0,
Tondela,1,7,7,630,7.0,11,1.57,35,25,74.3,1,2,4,1,14.3,2,2,0,0,0.0
Vitória,2,7,7,630,7.0,11,1.57,31,21,67.7,2,2,3,1,14.3,1,1,0,0,0.0
