Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arouca,28,34.0,14640,12783,1788,528,49,117,649,749,181,80,76,1,11359,69,276
vs AVS Futebol,33,34.0,17661,15848,1757,498,62,132,655,786,172,83,54,1,14274,56,318
vs Benfica,35,34.0,13484,11793,1662,464,35,97,389,658,100,56,34,0,10482,29,273
vs Boavista,32,34.0,18157,16390,1708,489,54,117,631,735,180,87,45,0,14910,59,262
vs Braga,35,34.0,14340,12494,1766,533,71,102,489,728,127,75,35,1,11031,80,280
vs Casa Pia,32,34.0,16057,14278,1714,512,43,103,635,714,185,100,55,1,12677,65,285
vs Estoril,28,34.0,16001,14115,1788,554,73,133,586,725,172,100,44,2,12503,98,269
vs Estrela,40,34.0,15594,13644,1887,560,41,99,600,821,199,109,50,1,12121,63,317
vs Famalicão,31,34.0,15016,13136,1802,493,48,103,595,792,168,101,48,0,11696,78,265
vs Farense,37,34.0,16706,14771,1891,558,45,94,720,811,201,120,53,0,13168,44,329
vs Gil Vicente FC,34,34.0,15745,14120,1582,412,34,97,655,688,173,75,56,3,12517,43,292
vs Moreirense,31,34.0,16271,14426,1801,531,36,121,706,791,178,97,40,4,12832,44,266
vs Nacional,31,34.0,14689,12864,1783,491,43,94,663,739,194,107,62,1,11335,42,285
vs Porto,32,34.0,11941,10299,1564,509,37,93,413,532,113,45,45,1,9064,78,255
vs Rio Ave,36,34.0,16110,14313,1717,532,51,118,654,699,191,80,71,1,12800,80,275
vs Santa Clara,25,34.0,16273,14336,1903,590,51,107,595,841,143,78,46,1,12759,34,306
vs Sporting CP,34,34.0,12597,11020,1525,415,36,68,435,554,102,51,34,0,9717,52,273
vs Vitória,31,34.0,13386,11583,1749,529,54,104,507,699,134,64,42,1,10104,54,285
