Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arouca,28,34.0,11359,14640,77.6,210181,80086,4690,5417,86.6,5076,5940,85.5,1302,2502,52.0,28,31.3,31.8,-3.3,332,866,255,65,1192
vs AVS Futebol,33,34.0,14274,17661,80.8,259762,91877,6014,6772,88.8,6366,7304,87.2,1558,2736,56.9,43,39.8,38.8,3.2,350,1161,314,86,1440
vs Benfica,35,34.0,10482,13484,77.7,190908,73520,4483,5120,87.6,4556,5349,85.2,1150,2294,50.1,21,19.9,17.9,1.1,232,617,140,36,812
vs Boavista,32,34.0,14910,18157,82.1,275965,98904,5824,6569,88.7,7152,8023,89.1,1585,2710,58.5,38,40.3,37.5,-2.3,374,1204,321,90,1535
vs Braga,35,34.0,11031,14340,76.9,202135,76677,4639,5346,86.8,4906,5817,84.3,1224,2403,50.9,20,25.7,22.6,-5.7,264,716,176,56,957
vs Casa Pia,32,34.0,12677,16057,78.9,231386,83079,5324,6035,88.2,5763,6675,86.3,1361,2608,52.2,27,25.7,29.8,1.3,330,1125,255,70,1311
vs Estoril,28,34.0,12503,16001,78.1,240588,84692,4721,5448,86.7,5986,6903,86.7,1555,2912,53.4,40,42.1,34.1,-2.1,286,874,223,75,1082
vs Estrela,40,34.0,12121,15594,77.7,218222,81835,5257,5998,87.6,5282,6190,85.3,1289,2521,51.1,32,31.1,28.8,0.9,302,888,251,73,1216
vs Famalicão,31,34.0,11696,15016,77.9,218884,79034,4582,5353,85.6,5438,6322,86.0,1384,2553,54.2,29,31.3,25.9,-2.3,287,915,195,57,1099
vs Farense,37,34.0,13168,16706,78.8,238217,86990,5600,6374,87.9,5872,6828,86.0,1384,2618,52.9,27,31.8,33.9,-4.8,339,1150,255,68,1414
vs Gil Vicente FC,34,34.0,12517,15745,79.5,228374,79523,5221,5985,87.2,5689,6502,87.5,1345,2511,53.6,23,25.0,29.7,-2.0,289,1074,225,77,1320
vs Moreirense,31,34.0,12832,16271,78.9,239514,83129,5086,5882,86.5,6007,6962,86.3,1475,2682,55.0,28,26.0,29.5,2.0,304,1046,250,79,1335
vs Nacional,31,34.0,11335,14689,77.2,211374,82957,4582,5276,86.8,5231,6147,85.1,1289,2548,50.6,31,32.1,30.7,-1.1,354,1017,251,75,1298
vs Porto,32,34.0,9064,11941,75.9,167155,63681,3816,4422,86.3,3853,4544,84.8,1092,2195,49.7,18,19.5,18.6,-1.5,202,627,161,41,794
vs Rio Ave,36,34.0,12800,16110,79.5,236405,87000,5310,6045,87.8,5758,6660,86.5,1442,2608,55.3,36,40.7,36.6,-4.7,379,1091,294,84,1359
vs Santa Clara,25,34.0,12759,16273,78.4,229229,80485,5460,6232,87.6,5722,6717,85.2,1298,2552,50.9,21,20.0,23.7,1.0,241,1061,197,58,1282
vs Sporting CP,34,34.0,9717,12597,77.1,177889,72488,4181,4793,87.2,4136,4887,84.6,1139,2203,51.7,16,15.5,17.8,0.5,169,717,152,38,844
vs Vitória,31,34.0,10104,13386,75.5,191417,71153,4025,4725,85.2,4589,5472,83.9,1257,2468,50.9,21,19.4,20.8,1.6,227,745,178,45,935
