Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arouca,28,34.0,12604,15955,79.0,228976,85117,5252,5970,88.0,5806,6734,86.2,1305,2467,52.9,18,25.2,22.8,-7.2,262,860,219,71,1184
AVS Futebol,33,34.0,10320,13626,75.7,191661,76821,4264,4955,86.1,4580,5497,83.3,1220,2416,50.5,17,22.0,22.4,-5.0,242,735,146,65,877
Benfica,35,34.0,15407,18762,82.1,278683,97148,6675,7496,89.0,6738,7661,88.0,1660,2650,62.6,58,55.5,52.8,2.5,425,1440,419,79,1874
Boavista,32,34.0,8734,12251,71.3,163678,69336,3732,4452,83.8,3616,4529,79.8,1152,2558,45.0,8,17.5,18.0,-9.5,229,700,173,63,886
Braga,35,34.0,15256,18810,81.1,279688,90896,6168,6915,89.2,7282,8210,88.7,1532,2840,53.9,40,36.9,35.8,3.1,346,1236,268,56,1510
Casa Pia,32,34.0,10412,13791,75.5,193547,74313,4308,5061,85.1,4663,5555,83.9,1214,2503,48.5,26,22.9,22.6,3.1,221,770,150,49,960
Estoril,28,34.0,11841,15103,78.4,208632,80292,5338,6092,87.6,5060,5885,86.0,1146,2343,48.9,28,27.3,25.7,0.7,244,852,198,47,1053
Estrela,40,34.0,9212,12566,73.3,180030,72137,3506,4205,83.4,4248,5117,83.0,1255,2591,48.4,16,18.8,20.9,-2.8,227,771,176,61,875
Famalicão,31,34.0,11775,15101,78.0,217884,81286,4784,5521,86.7,5220,6108,85.5,1398,2582,54.1,29,24.9,24.9,4.1,271,968,222,77,1250
Farense,37,34.0,8156,11632,70.1,170392,72021,2747,3411,80.5,3781,4651,81.3,1443,2882,50.1,18,21.4,22.5,-3.4,264,738,174,71,877
Gil Vicente FC,34,34.0,13018,16155,80.6,244400,82726,4916,5625,87.4,6301,7142,88.2,1512,2601,58.1,20,24.6,23.7,-4.6,246,804,205,48,1100
Moreirense,31,34.0,11338,14487,78.3,200798,74493,4853,5521,87.9,4886,5688,85.9,1153,2345,49.2,28,21.9,20.1,6.1,262,729,175,57,936
Nacional,31,34.0,9734,13055,74.6,194690,74456,3560,4219,84.4,4517,5422,83.3,1458,2776,52.5,21,25.6,24.6,-4.6,333,754,198,76,960
Porto,32,34.0,16032,19080,84.0,289504,92682,6695,7394,90.5,7527,8396,89.6,1524,2521,60.5,44,37.8,42.0,6.2,363,1264,350,101,1644
Rio Ave,36,34.0,11497,14661,78.4,214360,79707,4520,5208,86.8,5404,6234,86.7,1297,2429,53.4,20,25.0,21.1,-5.0,261,819,191,51,1051
Santa Clara,25,34.0,9569,13021,73.5,177459,66893,3984,4683,85.1,4213,5142,81.9,1112,2475,44.9,25,28.6,25.1,-3.6,261,753,191,68,867
Sporting CP,34,34.0,16353,19150,85.4,281706,93683,7362,8109,90.8,7404,8226,90.0,1275,2052,62.1,56,50.1,48.9,5.9,482,1531,358,58,1786
Vitória,31,34.0,14091,17462,80.7,251517,93103,6151,6955,88.4,6136,7045,87.1,1473,2593,56.8,27,31.3,34.3,-4.3,322,1170,280,75,1535
