Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arouca,28,26.0,34,3060,90,100,34.0,374,82,212,158,18,145,1.56,49,35,14,0.41,46.6,40.7,6.0,0.18
vs AVS Futebol,33,25.8,34,3060,90,100,34.0,374,80,216,157,17,148,1.85,60,25,35,1.03,55.0,31.7,23.3,0.68
vs Benfica,35,25.8,34,3060,90,100,34.0,374,82,210,161,20,148,0.5,28,84,-56,-1.65,29.2,78.8,-49.5,-1.46
vs Boavista,32,25.8,34,3060,90,100,34.0,374,83,210,161,19,143,2.12,59,24,35,1.03,56.2,32.1,24.0,0.71
vs Braga,35,25.9,34,3060,90,100,34.0,374,81,211,159,20,143,0.79,30,55,-25,-0.74,34.2,51.3,-17.1,-0.5
vs Casa Pia,32,25.7,34,3060,90,100,34.0,374,82,221,152,18,154,1.41,44,39,5,0.15,45.1,33.3,11.8,0.35
vs Estoril,28,25.9,34,3060,90,100,34.0,374,81,215,156,22,146,1.35,53,48,5,0.15,58.2,41.3,16.9,0.5
vs Estrela,40,25.7,34,3060,90,100,34.0,374,80,216,161,17,146,1.91,50,24,26,0.76,45.7,29.4,16.3,0.48
vs Famalicão,31,26.0,34,3060,90,100,34.0,374,83,214,157,19,142,1.29,39,44,-5,-0.15,43.0,39.1,3.9,0.12
vs Farense,37,25.8,34,3060,90,100,34.0,374,82,220,154,20,152,1.94,46,25,21,0.62,51.4,30.5,20.9,0.61
vs Gil Vicente FC,34,25.8,34,3060,90,100,34.0,374,82,215,156,19,141,1.71,47,34,13,0.38,42.1,33.8,8.3,0.24
vs Moreirense,31,25.9,34,3060,90,100,34.0,374,81,219,153,19,152,1.53,50,42,8,0.24,39.5,33.4,6.1,0.18
vs Nacional,31,25.9,34,3060,90,100,34.0,374,81,215,158,22,149,1.79,50,32,18,0.53,48.2,37.8,10.4,0.31
vs Porto,32,26.0,34,3060,90,100,34.0,374,82,205,158,19,147,0.76,30,65,-35,-1.03,30.4,56.5,-26.1,-0.77
vs Rio Ave,36,25.7,34,3060,90,100,34.0,374,81,212,162,20,144,1.56,55,39,16,0.47,54.4,38.9,15.5,0.46
vs Santa Clara,25,25.8,34,3060,90,100,34.0,374,82,212,159,21,146,1.15,32,36,-4,-0.12,32.9,42.6,-9.7,-0.28
vs Sporting CP,34,26.1,34,3060,90,100,34.0,374,82,213,157,23,148,0.38,27,88,-61,-1.79,23.4,72.2,-48.8,-1.43
vs Vitória,31,26.0,34,3060,90,100,34.0,374,82,213,159,18,145,1.06,37,47,-10,-0.29,32.4,44.6,-12.2,-0.36
