Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alverca,25,23.4,7,630,90,100,7.0,77,82,41,34,16,29,1.0,8,11,-3,-0.43,8.8,11.0,-2.1,-0.3
Arouca,22,25.6,7,630,90,100,7.0,77,79,40,35,22,28,1.14,9,18,-9,-1.29,4.8,12.9,-8.2,-1.16
AVS Futebol,25,26.9,7,630,90,100,7.0,77,78,41,35,26,27,0.14,4,17,-13,-1.86,6.1,12.3,-6.2,-0.89
Benfica,24,25.7,7,630,90,100,7.0,77,83,44,32,16,31,2.43,13,4,9,1.29,13.9,6.0,8.0,1.14
Braga,23,25.8,7,630,90,100,7.0,77,80,47,30,25,33,1.29,11,7,4,0.57,10.8,9.0,1.8,0.26
Casa Pia,25,28.0,8,720,90,100,8.0,88,79,48,40,25,32,1.0,8,13,-5,-0.62,8.0,12.3,-4.3,-0.54
Estoril,20,26.5,8,720,90,100,8.0,88,78,48,40,27,32,0.75,10,13,-3,-0.37,7.9,13.8,-5.9,-0.74
Estrela,27,25.5,7,630,90,100,7.0,77,80,41,36,20,27,1.0,6,6,0,0.0,9.5,8.5,1.0,0.14
Famalicão,21,24.3,7,630,90,100,7.0,77,83,46,30,16,33,1.71,7,3,4,0.57,8.8,7.3,1.5,0.21
Gil Vicente FC,21,25.8,7,630,90,100,7.0,77,80,42,35,23,28,1.86,8,4,4,0.57,8.9,6.6,2.3,0.33
Moreirense,23,27.3,7,630,90,100,7.0,77,81,44,33,21,29,2.14,10,8,2,0.29,7.9,10.6,-2.7,-0.38
Nacional,22,27.6,7,630,90,100,7.0,77,82,44,30,18,33,1.0,6,10,-4,-0.57,8.3,9.1,-0.8,-0.12
Porto,23,25.0,7,630,90,100,7.0,77,77,42,35,27,28,3.0,19,1,18,2.57,15.1,3.7,11.4,1.62
Rio Ave,25,24.8,7,630,90,100,7.0,77,81,42,35,21,28,0.71,8,13,-5,-0.71,6.0,12.7,-6.8,-0.96
Santa Clara,22,26.9,7,630,90,100,7.0,77,78,42,34,27,29,1.14,5,8,-3,-0.43,8.7,7.0,1.7,0.25
Sporting CP,22,25.5,7,630,90,100,7.0,77,81,44,33,21,30,2.57,19,4,15,2.14,17.7,4.1,13.6,1.94
Tondela,25,25.5,7,630,90,100,7.0,77,79,42,35,23,27,0.71,4,11,-7,-1.0,10.0,12.2,-2.2,-0.32
Vitória,27,26.1,7,630,90,100,7.0,77,80,45,32,24,31,1.14,7,11,-4,-0.57,7.1,9.2,-2.1,-0.3
