Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alverca,25,56.7,7.0,4143,285,1132,1924,1122,142,4139,100,45,45.0,50,50.0,2531,12731,6632,112,91,17,110,66,2787,291
vs Arouca,22,49.6,7.0,3742,353,1148,1762,866,161,3739,104,54,51.9,46,44.2,1976,10183,5547,108,76,30,95,47,2393,246
vs AVS Futebol,25,57.0,7.0,4273,413,1312,1937,1056,194,4271,97,42,43.3,49,50.5,2506,12545,6496,127,86,44,102,62,2797,313
vs Benfica,24,38.4,7.0,3259,501,1300,1341,660,98,3259,154,70,45.5,65,42.2,1591,8810,4833,92,55,19,113,50,1799,168
vs Braga,23,33.6,7.0,3221,537,1436,1300,521,80,3219,96,45,46.9,38,39.6,1471,6916,3368,69,46,21,96,53,1663,125
vs Casa Pia,25,55.0,8.0,4546,430,1414,2127,1055,170,4545,151,60,39.7,79,52.3,2508,12433,6381,108,96,28,120,64,2852,269
vs Estoril,20,49.8,8.0,4373,482,1432,1985,992,147,4369,130,59,45.4,61,46.9,2114,10912,5915,133,92,29,135,56,2549,246
vs Estrela,27,51.7,7.0,3649,311,977,1801,902,135,3648,102,34,33.3,55,53.9,1999,10119,5130,90,77,23,131,45,2205,231
vs Famalicão,21,50.4,7.0,3867,517,1603,1551,750,116,3866,142,57,40.1,69,48.6,2017,9319,4544,68,55,18,121,51,2363,190
vs Gil Vicente FC,21,53.9,7.0,3985,448,1472,1727,831,143,3984,128,53,41.4,59,46.1,2175,9752,4596,78,52,30,105,58,2449,194
vs Moreirense,23,49.7,7.0,3998,381,1304,1733,1007,144,3995,150,60,40.0,72,48.0,2374,11470,6034,97,80,34,100,35,2582,269
vs Nacional,22,57.9,7.0,4147,412,1337,1865,976,150,4146,111,38,34.2,55,49.5,2170,11118,5829,110,63,31,103,55,2563,281
vs Porto,23,44.7,7.0,3543,480,1362,1532,684,83,3543,96,46,47.9,38,39.6,2038,9334,4458,72,53,12,104,44,2173,144
vs Rio Ave,25,57.1,7.0,4507,314,1042,2083,1421,243,4507,108,47,43.5,44,40.7,2472,13599,7585,165,96,47,112,63,3068,361
vs Santa Clara,22,51.6,7.0,4031,414,1281,1826,955,91,4030,96,42,43.8,41,42.7,2215,10656,5200,89,72,13,100,45,2571,218
vs Sporting CP,22,38.0,7.0,3344,543,1404,1372,605,74,3344,108,46,42.6,58,53.7,1586,7408,3576,59,48,12,122,53,1908,145
vs Tondela,25,54.3,7.0,4079,472,1515,1733,874,168,4077,157,74,47.1,77,49.0,2136,11267,6078,132,75,40,113,55,2542,248
vs Vitória,27,50.0,7.0,3766,476,1410,1598,800,113,3765,110,42,38.2,55,50.0,2116,9572,4480,68,50,12,101,43,2364,203
