Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alverca,25,43.3,7.0,3410,451,1380,1466,606,68,3408,123,53,43.1,55,44.7,1817,8921,4306,68,50,16,121,50,1974,141
Arouca,22,50.4,7.0,3769,499,1472,1647,679,87,3769,89,39,43.8,47,52.8,1988,10403,5029,70,58,12,93,47,2424,196
AVS Futebol,25,43.0,7.0,3402,457,1268,1443,739,101,3401,112,56,50.0,49,43.8,1658,8906,4660,85,69,14,116,47,1901,194
Benfica,24,61.6,7.0,4665,316,1075,2147,1485,225,4662,136,70,51.5,59,43.4,2935,16296,8743,171,110,46,97,66,3278,389
Braga,23,66.4,7.0,5421,355,1372,2637,1441,191,5418,104,42,40.4,50,48.1,3319,15088,7475,146,96,35,103,46,3895,322
Casa Pia,25,45.0,8.0,3890,511,1493,1652,786,124,3889,115,56,48.7,47,40.9,1899,9030,4344,82,53,15,135,52,2155,189
Estoril,20,50.3,8.0,4356,457,1341,2136,915,157,4356,153,57,37.3,85,55.6,2360,10297,4829,82,55,24,129,66,2586,249
Estrela,27,48.3,7.0,3427,472,1436,1446,589,102,3426,107,40,37.4,55,51.4,1643,8938,4599,80,49,13,108,58,1991,183
Famalicão,21,49.6,7.0,3741,365,1165,1561,1054,189,3741,98,41,41.8,44,44.9,2020,9674,5218,111,62,41,110,51,2224,275
Gil Vicente FC,21,46.1,7.0,3533,432,1318,1469,781,130,3532,129,53,41.1,59,45.7,1808,8569,4285,97,55,23,104,52,2010,178
Moreirense,23,50.3,7.0,4061,530,1673,1648,777,114,4061,106,38,35.8,52,49.1,2086,9617,4601,80,81,20,108,53,2635,208
Nacional,22,42.1,7.0,3172,407,1155,1350,711,109,3170,117,58,49.6,48,41.0,1397,7060,3492,60,56,15,96,74,1564,156
Porto,23,55.3,7.0,4235,423,1286,1975,1019,180,4234,144,67,46.5,66,45.8,2527,13128,7207,128,90,40,108,50,2846,252
Rio Ave,25,42.9,7.0,3684,631,1666,1483,568,107,3683,137,47,34.3,72,52.6,1911,9877,5486,91,63,35,99,48,2209,165
Santa Clara,22,48.4,7.0,3721,339,1151,1789,816,117,3718,143,56,39.2,72,50.3,2022,9948,5209,80,59,26,105,52,2300,217
Sporting CP,22,62.0,7.0,4758,322,1205,2243,1358,220,4755,143,66,46.2,68,47.6,2911,14789,8375,164,130,55,100,54,3383,372
Tondela,25,45.7,7.0,3541,425,1202,1524,845,119,3538,106,47,44.3,48,45.3,1807,9276,4797,100,80,17,137,39,1976,226
Vitória,27,50.0,7.0,3687,377,1223,1581,908,112,3685,78,28,35.9,35,44.9,1887,8327,4027,82,47,13,114,40,2277,230
