Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arouca,28,34.0,34,390,119,30.5,11.47,3.5,0.07,0.24,19.7,21,6,9,40.7,33.5,0.09,-6.7,-5.5
AVS Futebol,33,34.0,25,341,87,25.5,10.03,2.56,0.06,0.24,19.4,14,4,5,31.7,27.7,0.08,-6.7,-6.7
Benfica,35,34.0,81,559,213,38.1,16.44,6.26,0.13,0.33,17.5,29,11,12,78.8,69.7,0.13,2.2,0.3
Boavista,32,34.0,23,345,102,29.6,10.15,3.0,0.05,0.16,19.0,12,7,7,32.1,26.9,0.08,-9.1,-10.9
Braga,35,34.0,54,459,155,33.8,13.5,4.56,0.11,0.32,17.1,9,5,6,51.3,46.5,0.1,2.7,2.5
Casa Pia,32,34.0,36,314,98,31.2,9.24,2.88,0.1,0.33,18.1,14,4,4,33.3,30.2,0.1,2.7,1.8
Estoril,28,34.0,47,328,112,34.1,9.65,3.29,0.13,0.37,19.9,12,6,8,41.3,34.9,0.11,5.7,6.1
Estrela,40,34.0,23,327,89,27.2,9.62,2.62,0.06,0.24,20.0,14,2,4,29.4,26.3,0.08,-6.4,-5.3
Famalicão,31,34.0,43,381,124,32.5,11.21,3.65,0.1,0.31,19.0,20,5,6,39.1,34.4,0.09,3.9,3.6
Farense,37,34.0,25,384,114,29.7,11.29,3.35,0.06,0.2,18.9,14,2,3,30.5,28.2,0.07,-5.5,-5.2
Gil Vicente FC,34,34.0,33,325,95,29.2,9.56,2.79,0.09,0.31,17.7,9,4,4,33.8,30.7,0.1,-0.8,-1.7
Moreirense,31,34.0,41,342,125,36.5,10.06,3.68,0.11,0.29,18.9,13,5,5,33.4,29.5,0.09,7.6,6.5
Nacional,31,34.0,31,451,129,28.6,13.26,3.79,0.06,0.22,20.1,11,3,5,37.8,33.9,0.08,-6.8,-5.9
Porto,32,34.0,65,474,170,35.9,13.94,5.0,0.12,0.33,17.2,12,9,11,56.5,47.8,0.1,8.5,8.2
Rio Ave,36,34.0,39,371,123,33.2,10.91,3.62,0.1,0.29,18.2,13,3,4,38.9,35.8,0.1,0.1,0.2
Santa Clara,25,34.0,35,378,124,32.8,11.12,3.65,0.09,0.27,18.2,16,2,4,42.6,39.4,0.11,-7.6,-6.4
Sporting CP,34,34.0,86,611,210,34.4,17.97,6.18,0.12,0.35,17.2,21,13,13,72.2,62.6,0.11,13.8,10.4
Vitória,31,34.0,43,444,141,31.8,13.06,4.15,0.09,0.28,17.8,16,3,3,44.6,42.2,0.1,-1.6,-2.2
