Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alverca,25,23.4,43.3,7,77,630,7.0,7,3,10,5,2,2,20,2,8.8,7.3,5.6,12.8,68,142,1.0,0.43,1.43,0.71,1.14,1.26,0.8,2.06,1.04,1.83
Arouca,22,25.6,50.4,7,77,630,7.0,9,6,15,9,0,0,18,2,4.8,4.8,3.8,8.6,70,197,1.29,0.86,2.14,1.29,2.14,0.68,0.55,1.23,0.68,1.23
AVS Futebol,25,26.9,43.0,7,77,630,7.0,4,3,7,4,0,1,13,1,6.1,5.3,4.2,9.5,85,195,0.57,0.43,1.0,0.57,1.0,0.87,0.6,1.47,0.76,1.35
Benfica,24,25.7,61.6,7,77,630,7.0,13,6,19,10,3,3,19,1,13.9,11.5,8.4,19.9,171,390,1.86,0.86,2.71,1.43,2.29,1.99,1.2,3.19,1.65,2.85
Braga,23,25.8,66.4,7,77,630,7.0,11,6,17,8,3,3,11,0,10.8,8.5,6.7,15.2,146,324,1.57,0.86,2.43,1.14,2.0,1.55,0.95,2.5,1.21,2.17
Casa Pia,25,28.0,45.0,8,88,720,8.0,8,5,13,7,1,1,28,0,8.0,7.2,5.8,13.0,82,191,1.0,0.62,1.62,0.87,1.5,1.0,0.73,1.73,0.9,1.63
Estoril,20,26.5,50.3,8,88,720,8.0,9,6,15,9,0,0,28,0,7.9,7.9,5.9,13.8,82,250,1.13,0.75,1.87,1.13,1.87,0.99,0.73,1.73,0.99,1.73
Estrela,27,25.5,48.3,7,77,630,7.0,6,5,11,6,0,1,18,2,9.5,8.7,7.8,16.5,80,187,0.86,0.71,1.57,0.86,1.57,1.35,1.12,2.47,1.24,2.36
Famalicão,21,24.3,49.6,7,77,630,7.0,7,5,12,7,0,0,23,1,8.8,8.8,6.8,15.6,111,276,1.0,0.71,1.71,1.0,1.71,1.25,0.97,2.23,1.25,2.23
Gil Vicente FC,21,25.8,46.1,7,77,630,7.0,8,6,14,7,1,1,19,1,8.9,8.1,5.7,13.7,97,179,1.14,0.86,2.0,1.0,1.86,1.27,0.81,2.07,1.15,1.96
Moreirense,23,27.3,50.3,7,77,630,7.0,10,9,19,10,0,0,22,0,7.9,7.9,6.8,14.7,80,210,1.43,1.29,2.71,1.43,2.71,1.13,0.97,2.1,1.13,2.1
Nacional,22,27.6,42.1,7,77,630,7.0,6,4,10,5,1,2,22,3,8.3,6.7,4.7,11.4,60,157,0.86,0.57,1.43,0.71,1.29,1.18,0.68,1.86,0.96,1.63
Porto,23,25.0,55.3,7,77,630,7.0,19,16,35,18,1,1,19,1,15.1,14.3,11.5,25.8,128,252,2.71,2.29,5.0,2.57,4.86,2.16,1.65,3.81,2.05,3.69
Rio Ave,25,24.8,42.9,7,77,630,7.0,8,7,15,7,1,1,16,0,6.0,5.2,4.5,9.7,91,165,1.14,1.0,2.14,1.0,2.0,0.86,0.64,1.5,0.74,1.39
Santa Clara,22,26.9,48.4,7,77,630,7.0,5,2,7,2,3,3,18,1,8.7,6.6,4.1,10.7,80,217,0.71,0.29,1.0,0.29,0.57,1.24,0.59,1.83,0.94,1.53
Sporting CP,22,25.5,62.0,7,77,630,7.0,18,14,32,15,3,3,13,0,17.7,15.3,11.9,27.2,164,375,2.57,2.0,4.57,2.14,4.14,2.53,1.7,4.23,2.19,3.89
Tondela,25,25.5,45.7,7,77,630,7.0,4,2,6,3,1,3,19,1,10.0,7.7,5.3,13.0,100,231,0.57,0.29,0.86,0.43,0.71,1.43,0.76,2.19,1.1,1.86
Vitória,27,26.1,50.0,7,77,630,7.0,7,5,12,6,1,2,15,0,7.1,5.5,3.8,9.3,82,237,1.0,0.71,1.71,0.86,1.57,1.01,0.54,1.55,0.79,1.32
