Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atalanta,1,5.0,10,0,0,1,0,8.1,0.34,-1.9,-0.37,42,108,38.9,144,13,65.3,48.8,41,34.1,30.1,69,1,1.4,11,2.2,19.7
vs Bologna,1,5.0,5,2,0,0,0,5.6,0.27,0.6,0.11,27,89,30.3,174,19,44.8,38.9,29,37.9,32.4,75,4,5.3,2,0.4,11.1
vs Cagliari,1,5.0,5,1,0,1,0,5.1,0.26,0.1,0.02,15,41,36.6,118,22,25.4,31.1,37,29.7,30.4,54,0,0.0,3,0.6,13.6
vs Como,1,5.0,6,0,1,0,0,5.4,0.22,-0.6,-0.12,23,59,39.0,132,26,33.3,34.2,46,32.6,29.8,52,2,3.8,0,0.0,10.1
vs Cremonese,2,5.0,6,1,0,3,0,6.1,0.39,0.1,0.03,21,51,41.2,110,21,33.6,34.9,21,66.7,50.4,46,3,6.5,6,1.2,17.6
vs Fiorentina,1,5.0,3,0,0,1,0,2.3,0.23,-0.7,-0.13,29,74,39.2,124,23,49.2,43.5,50,26.0,27.3,60,5,8.3,7,1.4,17.3
vs Genoa,1,5.0,2,0,0,0,0,4.3,0.27,2.3,0.46,37,92,40.2,177,14,42.9,36.8,27,59.3,42.6,60,7,11.7,3,0.6,11.0
vs Hellas Verona,1,6.0,2,1,0,1,0,7.1,0.2,5.1,0.85,25,64,39.1,181,41,26.5,31.8,41,39.0,36.7,69,5,7.2,3,0.5,12.7
vs Inter,2,5.0,13,0,0,2,1,8.9,0.33,-3.1,-0.63,23,66,34.8,131,22,37.4,37.0,49,34.7,32.0,90,6,6.7,6,1.2,16.0
vs Juventus,1,5.0,9,0,0,4,0,8.3,0.29,-0.7,-0.14,28,78,35.9,95,12,49.5,41.9,40,77.5,54.6,83,3,3.6,2,0.4,12.3
vs Lazio,1,5.0,7,0,0,0,0,6.5,0.38,-0.5,-0.11,28,54,51.9,133,15,29.3,30.3,33,45.5,38.7,55,4,7.3,10,2.0,19.6
vs Lecce,1,5.0,4,0,0,1,0,3.7,0.27,-0.3,-0.05,15,64,23.4,136,18,36.8,34.2,33,42.4,34.2,62,7,11.3,6,1.2,11.8
vs Milan,2,5.0,9,0,0,0,0,7.6,0.33,-1.4,-0.29,11,40,27.5,122,18,24.6,30.3,40,25.0,29.6,56,6,10.7,5,1.0,12.1
vs Napoli,2,5.0,10,2,1,2,0,9.9,0.29,-0.1,-0.02,17,81,21.0,138,24,50.0,42.2,37,32.4,27.9,98,12,12.2,3,0.6,7.8
vs Parma,1,5.0,3,1,0,1,0,3.1,0.19,0.1,0.03,34,87,39.1,149,23,47.7,38.9,36,44.4,34.3,74,11,14.9,1,0.2,9.7
vs Pisa,1,5.0,3,1,0,0,1,4.3,0.24,2.3,0.46,21,62,33.9,137,20,32.8,35.7,43,39.5,33.7,65,2,3.1,6,1.2,14.8
vs Roma,1,5.0,5,0,0,0,0,6.5,0.26,1.5,0.31,41,112,36.6,184,23,54.3,43.3,38,31.6,29.3,82,3,3.7,1,0.2,9.9
vs Sassuolo,2,6.0,8,1,0,1,0,8.1,0.27,0.1,0.02,18,64,28.1,162,22,34.6,31.7,31,25.8,28.0,37,1,2.7,10,1.67,19.2
vs Torino,1,5.0,2,0,0,0,0,6.4,0.27,4.4,0.88,23,63,36.5,162,23,27.8,31.6,28,64.3,47.8,69,4,5.8,2,0.4,11.5
vs Udinese,1,5.0,5,1,0,1,0,4.6,0.21,-0.4,-0.08,25,64,39.1,145,28,34.5,35.2,34,41.2,38.8,55,4,7.3,3,0.6,12.6
