Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,1,5.0,4,0,0,1,1,6.3,0.25,3.3,0.66,30,76,39.5,152,24,34.9,32.8,38,60.5,45.2,82,4,4.9,7,1.4,15.6
Bologna,1,5.0,5,0,0,1,0,4.8,0.28,-0.2,-0.05,29,73,39.7,239,29,26.4,31.2,26,38.5,36.8,44,3,6.8,4,0.8,11.9
Cagliari,1,5.0,5,0,0,1,0,5.9,0.27,0.9,0.19,32,82,39.0,124,25,53.2,37.1,52,30.8,28.1,88,13,14.8,7,1.4,13.0
Como,1,5.0,4,0,0,1,0,3.7,0.37,-0.3,-0.06,34,61,55.7,177,17,29.4,29.8,31,29.0,27.5,54,7,13.0,10,2.0,17.0
Cremonese,2,5.0,4,1,0,0,0,6.3,0.19,2.3,0.46,24,88,27.3,162,35,42.0,31.9,50,40.0,34.1,75,9,12.0,0,0.0,10.2
Fiorentina,1,5.0,6,1,0,1,0,6.7,0.25,0.7,0.14,24,54,44.4,125,19,36.8,31.9,43,18.6,22.9,61,2,3.3,3,0.6,12.9
Genoa,1,5.0,7,1,0,1,0,6.2,0.3,-0.8,-0.17,17,66,25.8,118,11,44.9,36.2,29,44.8,35.9,55,1,1.8,6,1.2,17.4
Hellas Verona,1,6.0,9,0,0,1,0,8.8,0.33,-0.2,-0.03,35,107,32.7,137,24,51.1,40.2,40,92.5,61.1,74,3,4.1,3,0.5,13.2
Inter,2,5.0,7,1,0,1,0,5.5,0.28,-1.5,-0.31,12,34,35.3,136,18,19.1,25.2,26,30.8,31.6,52,1,1.9,7,1.4,19.3
Juventus,1,5.0,5,1,0,1,0,3.8,0.23,-1.2,-0.24,19,44,43.2,124,21,27.4,31.0,35,28.6,28.2,81,6,7.4,2,0.4,10.5
Lazio,1,5.0,4,0,1,1,0,7.2,0.3,3.2,0.64,17,58,29.3,130,20,35.4,34.1,31,38.7,33.5,59,6,10.2,3,0.6,10.8
Lecce,1,5.0,10,2,0,1,0,9.8,0.31,-0.2,-0.03,30,95,31.6,110,15,75.5,43.5,40,30.0,27.0,73,1,1.4,7,1.4,13.6
Milan,2,5.0,3,1,0,1,0,4.5,0.26,1.5,0.3,16,48,33.3,141,22,27.0,33.8,25,40.0,33.9,76,8,10.5,0,0.0,7.3
Napoli,2,5.0,5,1,0,1,0,4.3,0.22,-0.7,-0.14,9,33,27.3,107,16,24.3,25.7,37,18.9,29.3,41,4,9.8,6,1.2,19.4
Parma,1,5.0,6,0,0,2,0,5.5,0.27,-0.5,-0.09,31,99,31.3,155,19,48.4,41.5,33,72.7,54.0,65,3,4.6,9,1.8,18.3
Pisa,1,5.0,6,0,0,0,0,6.1,0.28,0.1,0.01,39,88,44.3,128,20,62.5,41.3,38,21.1,24.1,74,6,8.1,0,0.0,6.3
Roma,1,5.0,1,0,0,0,0,3.6,0.26,2.6,0.52,21,69,30.4,164,26,29.3,32.9,35,60.0,46.8,51,3,5.9,3,0.6,13.5
Sassuolo,2,6.0,8,1,1,1,1,9.9,0.29,2.9,0.48,37,101,36.6,172,31,46.5,35.5,42,50.0,40.9,80,8,10.0,2,0.33,12.4
Torino,1,5.0,10,1,0,2,0,7.3,0.28,-2.7,-0.54,35,92,38.0,146,19,54.8,39.7,41,29.3,27.0,59,1,1.7,5,1.0,15.1
Udinese,1,5.0,8,0,0,1,0,6.1,0.32,-1.9,-0.39,12,45,26.7,107,16,29.9,29.9,42,31.0,30.0,67,1,1.5,6,1.2,18.5
