Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atalanta,22,5.0,67,34,23,33,11,39,88,44.3,49,44,13,31,41,108,105,6
vs Bologna,24,5.0,84,58,39,40,5,35,71,49.3,36,54,20,34,34,118,115,2
vs Cagliari,21,5.0,70,43,29,30,11,28,56,50.0,28,42,12,30,28,98,87,3
vs Como,21,5.0,109,64,53,46,10,55,92,59.8,37,65,19,46,49,158,95,2
vs Cremonese,23,5.0,61,42,26,30,5,24,51,47.1,27,40,5,35,27,88,117,3
vs Fiorentina,22,5.0,80,50,42,29,9,33,65,50.8,32,39,20,19,27,107,146,1
vs Genoa,21,5.0,85,41,28,44,13,35,78,44.9,43,52,16,36,38,123,127,2
vs Hellas Verona,24,6.0,76,39,33,33,10,37,76,48.7,39,52,15,37,41,117,167,9
vs Inter,24,5.0,66,30,28,26,12,30,62,48.4,32,46,19,27,35,101,152,6
vs Juventus,21,5.0,77,42,42,27,8,44,86,51.2,42,67,23,44,42,119,127,2
vs Lazio,23,5.0,94,58,44,32,18,42,72,58.3,30,54,13,41,47,141,98,5
vs Lecce,22,5.0,89,54,47,30,12,46,70,65.7,24,35,15,20,35,124,100,3
vs Milan,24,5.0,71,48,39,26,6,49,87,56.3,38,42,16,26,26,97,101,6
vs Napoli,24,5.0,75,50,32,31,12,30,62,48.4,32,65,28,37,40,115,116,8
vs Parma,19,5.0,78,45,41,26,11,27,46,58.7,19,38,20,18,38,116,172,4
vs Pisa,23,5.0,83,43,32,35,16,42,71,59.2,29,42,14,28,30,113,125,5
vs Roma,21,5.0,91,53,41,42,8,42,70,60.0,28,65,15,50,44,135,140,4
vs Sassuolo,25,6.0,94,59,36,42,16,41,78,52.6,37,47,13,34,36,130,106,1
vs Torino,23,5.0,68,39,36,20,12,29,58,50.0,29,42,16,26,31,99,103,2
vs Udinese,24,5.0,78,43,42,28,8,33,64,51.6,31,49,14,35,29,107,111,3
