Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atalanta,22,5.0,77,49,41,23,13,38,75,50.7,37,49,20,29,30,107,164,3
Bologna,24,5.0,70,45,31,32,7,35,64,54.7,29,42,14,28,33,103,103,7
Cagliari,21,5.0,74,38,40,25,9,31,62,50.0,31,38,16,22,43,117,135,6
Como,21,5.0,89,56,35,37,17,40,82,48.8,42,55,18,37,32,121,115,1
Cremonese,23,5.0,71,42,32,32,7,42,71,59.2,29,54,24,30,26,97,144,4
Fiorentina,22,5.0,90,44,35,41,14,39,69,56.5,30,46,13,33,38,128,96,2
Genoa,21,5.0,106,67,46,46,14,54,77,70.1,23,55,19,36,35,141,101,2
Hellas Verona,24,6.0,113,67,60,43,10,52,95,54.7,43,81,22,59,65,178,135,2
Inter,24,5.0,64,40,28,24,12,19,48,39.6,29,40,15,25,27,91,103,3
Juventus,21,5.0,87,45,30,42,15,33,52,63.5,19,37,15,22,34,121,116,5
Lazio,23,5.0,75,39,35,30,10,35,72,48.6,37,49,10,39,47,122,97,8
Lecce,22,5.0,82,47,43,30,9,41,85,48.2,44,46,15,31,29,111,110,5
Milan,24,5.0,68,43,41,19,8,32,55,58.2,23,37,15,22,32,100,109,3
Napoli,24,5.0,60,41,27,23,10,32,60,53.3,28,37,14,23,29,89,71,4
Parma,19,5.0,73,46,30,34,9,36,72,50.0,36,58,18,40,31,104,103,1
Pisa,23,5.0,101,62,43,54,4,39,89,43.8,50,61,25,36,38,139,148,6
Roma,21,5.0,74,35,27,36,11,37,68,54.4,31,43,4,39,41,115,99,3
Sassuolo,25,6.0,93,51,44,34,15,42,80,52.5,38,68,19,49,45,138,174,3
Torino,23,5.0,70,43,37,21,12,34,54,63.0,20,41,18,23,32,102,120,6
Udinese,24,5.0,59,35,28,24,7,30,73,41.1,43,43,12,31,31,90,167,3
