Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atalanta,22,5.0,109,21.8,68,13,9,10,7,2,4,0.8,3,0,0,1,0,0
vs Bologna,24,5.0,104,20.8,71,9,8,8,4,4,6,1.2,4,1,0,1,0,0
vs Cagliari,21,5.0,126,25.2,82,12,11,9,7,5,10,2.0,9,0,1,0,0,0
vs Como,21,5.0,82,16.4,46,15,6,7,6,2,6,1.2,4,0,0,2,0,0
vs Cremonese,23,5.0,148,29.6,110,16,5,8,6,3,8,1.6,7,0,0,0,1,0
vs Fiorentina,22,5.0,123,24.6,82,17,5,7,10,2,11,2.2,4,2,0,2,3,0
vs Genoa,21,5.0,99,19.8,66,9,8,12,2,2,11,2.2,9,1,0,1,0,0
vs Hellas Verona,24,6.0,135,22.5,89,15,12,7,12,0,17,2.83,11,2,2,1,1,0
vs Inter,24,5.0,90,18.0,73,7,5,1,3,1,13,2.6,11,1,0,0,1,0
vs Juventus,21,5.0,102,20.4,72,14,3,8,3,2,7,1.4,5,1,0,0,1,0
vs Lazio,23,5.0,121,24.2,83,10,5,11,7,5,6,1.2,3,0,1,1,1,0
vs Lecce,22,5.0,117,23.4,82,11,6,8,7,3,16,3.2,10,2,0,0,3,1
vs Milan,24,5.0,83,16.6,72,5,2,2,1,1,6,1.2,3,1,0,1,1,0
vs Napoli,24,5.0,93,18.6,70,5,6,7,3,2,7,1.4,4,0,1,2,0,0
vs Parma,19,5.0,127,25.4,103,8,4,6,3,3,10,2.0,8,0,0,2,0,0
vs Pisa,23,5.0,134,26.8,99,11,10,10,4,0,11,2.2,8,0,2,1,0,0
vs Roma,21,5.0,85,17.0,60,13,4,3,3,2,2,0.4,2,0,0,0,0,0
vs Sassuolo,25,6.0,157,26.17,115,12,10,13,7,0,12,2.0,6,1,1,2,2,0
vs Torino,23,5.0,135,27.0,92,15,3,11,10,4,13,2.6,9,2,0,2,0,0
vs Udinese,24,5.0,101,20.2,74,8,7,10,1,1,11,2.2,7,0,1,2,0,1
