Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,22,5.0,123,24.6,98,6,6,7,2,4,14,2.8,11,1,0,1,0,1
Bologna,24,5.0,104,20.8,70,14,5,8,4,3,8,1.6,7,0,0,0,1,0
Cagliari,21,5.0,105,21.0,70,16,4,6,6,3,8,1.6,3,1,0,2,2,0
Como,21,5.0,144,28.8,110,10,10,6,5,3,12,2.4,8,1,1,0,2,0
Cremonese,23,5.0,59,11.8,41,7,4,3,4,0,11,2.2,7,2,0,1,1,0
Fiorentina,22,5.0,104,20.8,74,10,4,7,8,1,4,0.8,2,0,0,2,0,0
Genoa,21,5.0,92,18.4,60,11,5,10,4,2,3,0.6,2,0,0,1,0,0
Hellas Verona,24,6.0,139,23.17,99,14,8,9,5,4,2,0.33,0,0,0,1,1,0
Inter,24,5.0,166,33.2,114,19,10,17,5,1,19,3.8,15,2,1,1,0,0
Juventus,21,5.0,154,30.8,104,18,11,12,8,1,17,3.4,12,2,2,0,1,0
Lazio,23,5.0,108,21.6,74,12,7,8,7,0,13,2.6,10,1,0,1,1,0
Lecce,22,5.0,85,17.0,54,11,6,8,4,2,6,1.2,3,1,1,1,0,0
Milan,24,5.0,127,25.4,93,11,9,8,4,2,13,2.6,9,1,1,0,1,1
Napoli,24,5.0,145,29.0,109,6,11,12,5,2,19,3.8,11,0,2,3,3,0
Parma,19,5.0,99,19.8,56,14,4,9,11,5,4,0.8,1,1,0,2,0,0
Pisa,23,5.0,96,19.2,63,12,8,7,3,3,2,0.4,1,0,0,1,0,0
Roma,21,5.0,120,24.0,90,11,2,8,6,3,7,1.4,7,0,0,0,0,0
Sassuolo,25,6.0,104,17.33,78,6,5,6,7,2,14,2.33,10,0,1,2,1,0
Torino,23,5.0,95,19.0,73,8,6,1,4,3,4,0.8,4,0,0,0,0,0
Udinese,24,5.0,102,20.4,79,9,4,6,4,0,7,1.4,4,1,0,2,0,0
