Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,22,5.0,2,0,0,42,49,6,106,41,34,1,0,0,202,78,79,49.7
vs Bologna,24,5.0,17,0,0,79,63,5,55,34,58,0,2,0,187,77,76,50.3
vs Cagliari,21,5.0,9,0,0,72,77,9,106,28,43,0,1,0,187,66,57,53.7
vs Como,21,5.0,17,0,0,75,76,10,72,49,64,0,0,0,178,53,68,43.8
vs Cremonese,23,5.0,8,1,0,69,59,7,88,27,42,1,1,0,191,71,69,50.7
vs Fiorentina,22,5.0,9,0,0,87,71,6,79,27,50,1,0,0,173,78,69,53.1
vs Genoa,21,5.0,9,1,0,69,76,10,65,38,41,0,0,0,183,96,84,53.3
vs Hellas Verona,24,6.0,10,0,0,54,99,6,95,41,39,1,1,0,227,112,85,56.9
vs Inter,24,5.0,6,0,0,46,66,6,68,35,30,0,0,1,143,58,81,41.7
vs Juventus,21,5.0,11,1,1,62,53,2,93,42,42,0,0,0,188,71,75,48.6
vs Lazio,23,5.0,14,0,0,89,58,6,77,47,58,0,0,0,173,54,68,44.3
vs Lecce,22,5.0,7,0,0,68,52,13,86,35,54,2,0,0,203,66,82,44.6
vs Milan,24,5.0,9,0,0,56,47,6,104,26,48,1,0,0,170,55,46,54.5
vs Napoli,24,5.0,7,2,1,68,59,2,50,40,50,0,2,0,185,54,61,47.0
vs Parma,19,5.0,10,1,0,67,53,14,83,38,45,0,1,0,187,97,75,56.4
vs Pisa,23,5.0,7,0,0,59,66,8,105,30,43,0,1,1,198,75,96,43.9
vs Roma,21,5.0,11,2,0,77,66,9,64,44,53,0,0,0,216,89,84,51.4
vs Sassuolo,25,6.0,13,0,0,91,71,4,113,36,59,1,2,0,210,89,79,53.0
vs Torino,23,5.0,7,0,0,57,63,7,77,31,39,0,1,0,176,84,75,52.8
vs Udinese,24,5.0,4,0,0,56,58,12,99,29,43,0,1,0,164,74,85,46.5
