Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,22,26.7,5,450,90,100,5.0,55,82,32,22,20,34,1.8,10,4,6,1.2,7.2,4.5,2.7,0.55
Bologna,24,27.8,5,450,90,100,5.0,55,79,30,25,24,42,1.4,5,5,0,0.0,4.8,5.6,-0.8,-0.16
Cagliari,21,26.0,5,450,90,100,5.0,55,80,30,25,22,43,1.4,5,5,0,0.0,5.1,8.1,-3.0,-0.6
Como,21,25.7,5,450,90,100,5.0,55,78,28,25,26,38,1.6,6,4,2,0.4,6.4,4.4,1.9,0.39
Cremonese,23,28.2,5,450,90,100,5.0,55,79,30,25,24,37,1.8,6,4,2,0.4,3.7,6.7,-3.0,-0.61
Fiorentina,22,27.3,5,450,90,100,5.0,55,79,32,23,25,45,0.6,3,6,-3,-0.6,5.5,6.8,-1.3,-0.27
Genoa,21,26.3,5,450,90,100,5.0,55,81,32,23,21,49,0.4,2,7,-5,-1.0,5.4,5.8,-0.4,-0.08
Hellas Verona,24,26.7,6,540,90,100,6.0,66,81,37,30,19,53,0.5,2,9,-7,-1.17,6.6,8.2,-1.5,-0.26
Inter,24,29.4,5,450,90,100,5.0,55,81,31,24,20,44,1.8,13,7,6,1.2,8.9,3.8,5.1,1.03
Juventus,21,25.8,5,450,90,100,5.0,55,80,29,25,22,27,2.2,9,5,4,0.8,5.9,4.3,1.6,0.31
Lazio,23,28.1,5,450,90,100,5.0,55,78,29,25,27,33,1.2,7,4,3,0.6,7.3,6.1,1.2,0.24
Lecce,22,25.9,5,450,90,100,5.0,55,79,30,25,24,42,0.4,4,10,-6,-1.2,3.9,8.0,-4.1,-0.83
Milan,24,28.1,5,450,90,100,5.0,55,81,33,21,22,28,2.4,9,3,6,1.2,6.8,3.4,3.4,0.67
Napoli,24,29.6,5,450,90,100,5.0,55,84,32,23,15,44,2.4,10,5,5,1.0,9.0,5.5,3.5,0.69
Parma,19,24.3,5,450,90,100,5.0,55,85,34,21,14,45,1.0,3,6,-3,-0.6,5.3,5.1,0.2,0.04
Pisa,23,26.9,5,450,90,100,5.0,55,79,30,25,23,45,0.4,3,6,-3,-0.6,4.8,5.7,-0.9,-0.17
Roma,21,26.6,5,450,90,100,5.0,55,81,31,24,20,34,2.4,5,1,4,0.8,5.6,4.1,1.5,0.3
Sassuolo,25,26.2,6,540,90,100,6.0,66,81,35,30,20,58,1.5,8,8,0,0.0,6.6,8.8,-2.2,-0.36
Torino,23,27.4,5,450,90,100,5.0,55,80,30,25,21,43,0.8,2,10,-8,-1.6,4.4,7.3,-2.9,-0.58
Udinese,24,25.8,5,450,90,100,5.0,55,79,31,24,26,44,1.4,5,8,-3,-0.6,4.7,5.6,-0.9,-0.18
