Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Atalanta,22,46.0,5.0,2746,309,849,1173,751,101,2745,86,37,43.0,38,44.2,1434,7784,3856,76,54,23,93,39,1709,159
vs Bologna,24,46.0,5.0,2483,344,974,1056,480,104,2483,74,29,39.2,35,47.3,1233,6396,2991,71,44,28,85,35,1455,117
vs Cagliari,21,56.4,5.0,3065,244,797,1499,793,122,3065,72,31,43.1,31,43.1,1715,9160,5013,101,54,20,66,43,2086,198
vs Como,21,40.6,5.0,2364,325,964,995,438,75,2364,91,42,46.2,40,44.0,1237,6397,2982,55,40,20,84,49,1351,120
vs Cremonese,23,54.4,5.0,3110,173,719,1698,715,123,3109,81,29,35.8,42,51.9,1856,9046,4492,95,56,25,90,29,2107,193
vs Fiorentina,22,47.6,5.0,2538,315,889,1090,588,110,2537,75,30,40.0,39,52.0,1228,6788,3602,89,49,28,67,51,1538,142
vs Genoa,21,49.0,5.0,2692,289,976,1172,570,86,2691,88,23,26.1,54,61.4,1315,6904,2842,54,47,18,77,52,1575,124
vs Hellas Verona,24,59.3,6.0,3901,390,1174,1973,787,102,3900,99,42,42.4,52,52.5,2222,10783,5722,93,78,15,91,61,2650,249
vs Inter,24,39.0,5.0,2386,345,968,1000,438,63,2385,54,29,53.7,19,35.2,1200,6384,3063,56,37,12,72,45,1453,135
vs Juventus,21,40.2,5.0,2434,296,855,998,602,80,2433,59,19,32.2,33,55.9,1140,6283,3332,67,57,13,76,54,1396,122
vs Lazio,23,50.2,5.0,2907,275,1010,1263,664,112,2907,84,37,44.0,35,41.7,1688,8387,3875,92,54,26,73,40,1952,169
vs Lecce,22,56.4,5.0,2960,316,1103,1242,644,119,2958,100,44,44.0,41,41.0,1855,9385,4420,73,48,25,66,42,1962,171
vs Milan,24,48.8,5.0,2919,300,845,1382,713,71,2918,68,23,33.8,32,47.1,1688,8395,4268,81,62,6,73,36,2060,190
vs Napoli,24,39.4,5.0,2449,354,942,1103,429,72,2448,67,28,41.8,32,47.8,1393,7107,3486,64,47,16,54,28,1556,102
vs Parma,19,56.6,5.0,2990,353,1091,1244,678,123,2990,77,36,46.8,36,46.8,1476,7185,3564,62,59,24,79,37,1925,174
vs Pisa,23,61.4,5.0,3277,302,882,1619,811,143,3277,101,50,49.5,39,38.6,2030,10193,5193,109,76,39,75,62,2232,231
vs Roma,21,40.0,5.0,2372,359,937,1043,422,55,2372,77,31,40.3,37,48.1,1105,5716,2712,54,30,17,69,37,1248,120
vs Sassuolo,25,56.3,6.0,3725,281,1010,1822,919,132,3724,92,38,41.3,42,45.7,2058,10214,5409,84,74,25,88,49,2568,255
vs Torino,23,57.0,5.0,3131,323,926,1531,701,114,3130,69,20,29.0,34,49.3,1767,8443,4273,82,53,22,78,36,2181,188
vs Udinese,24,52.2,5.0,2844,294,1002,1202,668,109,2844,90,43,47.8,30,33.3,1517,7866,3938,68,46,24,72,29,1865,186
