Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,22,5.0,10,72,24,33.3,14.4,4.8,0.14,0.42,16.4,1,0,0,7.2,7.2,0.1,2.8,2.8
Bologna,24,5.0,5,56,13,23.2,11.2,2.6,0.05,0.23,18.3,1,2,2,4.8,3.2,0.06,0.2,-0.2
Cagliari,21,5.0,5,56,16,28.6,11.2,3.2,0.07,0.25,18.1,2,1,1,5.1,4.4,0.08,-0.1,-0.4
Como,21,5.0,6,78,25,32.1,15.6,5.0,0.08,0.24,18.8,2,0,0,6.4,6.4,0.09,-0.4,-0.4
Cremonese,23,5.0,6,32,13,40.6,6.4,2.6,0.16,0.38,18.8,1,1,1,3.7,2.9,0.11,2.3,2.1
Fiorentina,22,5.0,3,61,10,16.4,12.2,2.0,0.05,0.3,18.3,3,0,0,5.5,5.5,0.09,-2.5,-2.5
Genoa,21,5.0,2,51,16,31.4,10.2,3.2,0.04,0.13,16.7,2,0,0,5.4,5.4,0.12,-3.4,-3.4
Hellas Verona,24,6.0,2,83,31,37.3,13.83,5.17,0.01,0.03,20.7,3,1,1,6.6,5.8,0.07,-4.6,-4.8
Inter,24,5.0,12,94,27,28.7,18.8,5.4,0.13,0.44,15.3,3,0,0,8.9,8.9,0.1,3.1,3.1
Juventus,21,5.0,9,84,29,34.5,16.8,5.8,0.11,0.31,18.1,2,0,0,5.9,5.9,0.07,3.1,3.1
Lazio,23,5.0,7,59,17,28.8,11.8,3.4,0.12,0.41,16.9,1,0,0,7.3,7.3,0.12,-0.3,-0.3
Lecce,22,5.0,4,49,14,28.6,9.8,2.8,0.08,0.29,16.9,1,0,0,3.9,3.9,0.08,0.1,0.1
Milan,24,5.0,9,71,23,32.4,14.2,4.6,0.13,0.39,15.0,0,0,0,6.8,6.8,0.1,2.2,2.2
Napoli,24,5.0,10,82,29,35.4,16.4,5.8,0.1,0.28,16.8,2,2,2,9.0,8.4,0.1,1.0,-0.4
Parma,19,5.0,3,59,13,22.0,11.8,2.6,0.03,0.15,18.1,3,1,1,5.3,4.5,0.08,-2.3,-2.5
Pisa,23,5.0,2,55,13,23.6,11.0,2.6,0.02,0.08,17.2,0,1,1,4.8,4.2,0.08,-2.8,-3.2
Roma,21,5.0,5,69,25,36.2,13.8,5.0,0.07,0.2,17.1,4,0,0,5.6,5.6,0.08,-0.6,-0.6
Sassuolo,25,6.0,8,55,22,40.0,9.17,3.67,0.13,0.32,18.1,3,1,2,6.6,4.9,0.09,1.4,2.1
Torino,23,5.0,2,52,20,38.5,10.4,4.0,0.04,0.1,19.0,1,0,1,4.4,3.6,0.07,-2.4,-1.6
Udinese,24,5.0,5,58,20,34.5,11.6,4.0,0.07,0.2,21.4,1,1,1,4.7,3.9,0.07,0.3,0.1
