Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atalanta,22,26.3,46.0,5,55,450,5.0,3,1,4,3,0,1,2,0,4.5,3.7,2.4,6.0,76,162,0.6,0.2,0.8,0.6,0.8,0.89,0.48,1.37,0.73,1.21
vs Bologna,24,26.5,46.0,5,55,450,5.0,5,3,8,5,0,0,17,0,5.6,5.6,3.8,9.4,71,119,1.0,0.6,1.6,1.0,1.6,1.11,0.77,1.88,1.11,1.88
vs Cagliari,21,27.4,56.4,5,55,450,5.0,5,5,10,5,0,0,9,0,8.1,8.1,7.2,15.3,101,202,1.0,1.0,2.0,1.0,2.0,1.63,1.44,3.07,1.63,3.07
vs Como,21,27.5,40.6,5,55,450,5.0,4,1,5,4,0,0,17,0,4.4,4.4,2.8,7.2,55,121,0.8,0.2,1.0,0.8,1.0,0.88,0.55,1.44,0.88,1.44
vs Cremonese,23,26.1,54.4,5,55,450,5.0,4,3,7,3,1,1,8,1,6.7,5.9,4.8,10.7,95,195,0.8,0.6,1.4,0.6,1.2,1.34,0.95,2.3,1.19,2.14
vs Fiorentina,22,27.2,47.6,5,55,450,5.0,6,5,11,5,1,1,9,0,6.8,6.5,5.1,11.6,89,144,1.2,1.0,2.2,1.0,2.0,1.37,1.01,2.38,1.31,2.32
vs Genoa,21,26.8,49.0,5,55,450,5.0,7,5,12,6,1,1,9,1,5.8,5.0,3.7,8.8,54,125,1.4,1.0,2.4,1.2,2.2,1.17,0.75,1.91,1.01,1.76
vs Hellas Verona,24,26.5,59.3,6,66,540,6.0,9,7,16,9,0,1,10,0,8.2,7.3,5.6,12.8,93,250,1.5,1.17,2.67,1.5,2.67,1.36,0.93,2.29,1.21,2.14
vs Inter,24,26.3,39.0,5,55,450,5.0,7,6,13,6,1,1,6,0,3.8,3.0,2.9,5.9,56,136,1.4,1.2,2.6,1.2,2.4,0.75,0.57,1.33,0.61,1.18
vs Juventus,21,27.0,40.2,5,55,450,5.0,5,3,8,4,1,1,11,1,4.3,3.5,2.8,6.3,67,122,1.0,0.6,1.6,0.8,1.4,0.86,0.56,1.42,0.7,1.26
vs Lazio,23,26.1,50.2,5,55,450,5.0,4,3,7,4,0,0,14,0,6.1,6.1,4.7,10.8,92,169,0.8,0.6,1.4,0.8,1.4,1.22,0.94,2.16,1.22,2.16
vs Lecce,22,26.5,56.4,5,55,450,5.0,10,6,16,8,2,2,7,0,8.0,6.4,4.8,11.2,73,172,2.0,1.2,3.2,1.6,2.8,1.6,0.96,2.56,1.29,2.25
vs Milan,24,27.2,48.8,5,55,450,5.0,3,2,5,2,1,1,9,0,3.4,3.2,2.8,6.0,81,190,0.6,0.4,1.0,0.4,0.8,0.69,0.56,1.25,0.63,1.19
vs Napoli,24,26.7,39.4,5,55,450,5.0,5,3,8,4,1,1,7,2,5.5,5.0,4.0,9.0,64,102,1.0,0.6,1.6,0.8,1.4,1.11,0.8,1.91,0.99,1.79
vs Parma,19,26.9,56.6,5,55,450,5.0,6,4,10,6,0,0,10,1,5.1,5.1,4.0,9.0,62,176,1.2,0.8,2.0,1.2,2.0,1.02,0.79,1.81,1.02,1.81
vs Pisa,23,27.4,61.4,5,55,450,5.0,6,4,10,6,0,0,7,0,5.7,5.7,3.6,9.2,109,232,1.2,0.8,2.0,1.2,2.0,1.14,0.71,1.85,1.14,1.85
vs Roma,21,27.9,40.0,5,55,450,5.0,1,1,2,1,0,0,11,2,4.1,4.1,3.8,7.9,54,121,0.2,0.2,0.4,0.2,0.4,0.81,0.76,1.58,0.81,1.58
vs Sassuolo,25,27.8,56.3,6,66,540,6.0,7,4,11,6,1,1,13,0,8.8,8.0,5.9,14.0,84,259,1.17,0.67,1.83,1.0,1.67,1.47,0.99,2.46,1.34,2.33
vs Torino,23,26.9,57.0,5,55,450,5.0,10,8,18,9,1,1,7,0,7.3,6.6,5.0,11.6,82,190,2.0,1.6,3.6,1.8,3.4,1.47,1.0,2.47,1.31,2.31
vs Udinese,24,27.5,52.2,5,55,450,5.0,8,7,15,8,0,0,4,0,5.6,5.6,4.3,9.8,68,188,1.6,1.4,3.0,1.6,3.0,1.11,0.86,1.97,1.11,1.97
