Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,22,26.7,54.0,5,55,450,5.0,10,8,18,10,0,0,7,1,7.2,7.2,5.0,12.2,102,197,2.0,1.6,3.6,2.0,3.6,1.44,1.0,2.44,1.44,2.44
Bologna,24,27.8,54.0,5,55,450,5.0,5,3,8,3,2,2,10,0,4.8,3.2,2.9,6.1,53,156,1.0,0.6,1.6,0.6,1.2,0.95,0.58,1.53,0.64,1.22
Cagliari,21,26.0,43.6,5,55,450,5.0,5,2,7,4,1,1,11,0,5.1,4.4,3.5,7.8,67,128,1.0,0.4,1.4,0.8,1.2,1.03,0.7,1.73,0.87,1.57
Como,21,25.7,59.4,5,55,450,5.0,6,5,11,6,0,0,14,2,6.4,6.4,4.8,11.2,86,153,1.2,1.0,2.2,1.2,2.2,1.27,0.96,2.23,1.27,2.23
Cremonese,23,28.2,45.6,5,55,450,5.0,6,4,10,5,1,1,12,0,3.7,2.9,2.7,5.6,47,121,1.2,0.8,2.0,1.0,1.8,0.74,0.54,1.27,0.58,1.12
Fiorentina,22,27.3,52.4,5,55,450,5.0,3,1,4,3,0,0,9,0,5.5,5.5,3.4,8.9,74,146,0.6,0.2,0.8,0.6,0.8,1.1,0.67,1.78,1.1,1.78
Genoa,21,26.3,51.0,5,55,450,5.0,2,1,3,2,0,0,15,0,5.4,5.4,3.6,9.0,63,126,0.4,0.2,0.6,0.4,0.6,1.08,0.71,1.8,1.08,1.8
Hellas Verona,24,26.7,40.7,6,66,540,6.0,2,1,3,1,1,1,13,0,6.6,5.8,4.6,10.5,76,163,0.33,0.17,0.5,0.17,0.33,1.11,0.77,1.88,0.97,1.75
Inter,24,29.4,61.0,5,55,450,5.0,12,11,23,12,0,0,7,0,8.9,8.9,8.0,16.9,98,254,2.4,2.2,4.6,2.4,4.6,1.78,1.6,3.38,1.78,3.38
Juventus,21,25.8,59.8,5,55,450,5.0,9,8,17,9,0,0,8,1,5.9,5.9,4.8,10.7,107,214,1.8,1.6,3.4,1.8,3.4,1.17,0.96,2.13,1.17,2.13
Lazio,23,28.1,49.8,5,55,450,5.0,7,6,13,7,0,0,8,2,7.3,7.3,6.6,13.9,54,178,1.4,1.2,2.6,1.4,2.6,1.45,1.32,2.77,1.45,2.77
Lecce,22,25.9,43.6,5,55,450,5.0,4,3,7,4,0,0,10,0,3.9,3.9,2.2,6.1,57,147,0.8,0.6,1.4,0.8,1.4,0.78,0.44,1.22,0.78,1.22
Milan,24,28.1,51.2,5,55,450,5.0,9,7,16,9,0,0,5,1,6.8,6.8,5.6,12.4,90,172,1.8,1.4,3.2,1.8,3.2,1.36,1.11,2.47,1.36,2.47
Napoli,24,29.6,60.6,5,55,450,5.0,10,6,16,8,2,2,4,0,9.0,8.4,6.2,14.6,114,266,2.0,1.2,3.2,1.6,2.8,1.8,1.25,3.04,1.68,2.93
Parma,19,24.3,43.4,5,55,450,5.0,3,1,4,2,1,1,8,0,5.3,4.5,3.2,7.7,63,122,0.6,0.2,0.8,0.4,0.6,1.06,0.63,1.69,0.9,1.54
Pisa,23,26.9,38.6,5,55,450,5.0,2,1,3,1,1,1,5,0,4.8,4.2,3.5,7.7,59,136,0.4,0.2,0.6,0.2,0.4,0.96,0.69,1.65,0.85,1.54
Roma,21,26.6,60.0,5,55,450,5.0,5,3,8,5,0,0,5,0,5.6,5.6,4.0,9.5,96,210,1.0,0.6,1.6,1.0,1.6,1.11,0.79,1.9,1.11,1.9
Sassuolo,25,26.2,43.7,6,66,540,6.0,8,6,14,7,1,2,15,1,6.6,4.9,4.0,9.0,75,165,1.33,1.0,2.33,1.17,2.17,1.11,0.67,1.78,0.82,1.5
Torino,23,27.4,43.0,5,55,450,5.0,2,2,4,2,0,1,8,0,4.4,3.6,3.1,6.7,55,163,0.4,0.4,0.8,0.4,0.8,0.89,0.61,1.5,0.73,1.34
Udinese,24,25.8,47.8,5,55,450,5.0,5,2,7,4,1,1,13,0,4.7,3.9,2.4,6.3,90,158,1.0,0.4,1.4,0.8,1.2,0.93,0.47,1.41,0.79,1.26
