Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Avellino,1,6.0,11,0,0,0,1,7.8,0.41,-2.2,-0.37,22,54,40.7,113,20,38.1,35.4,30,36.7,31.1,56,10,17.9,9,1.5,14.8
vs Bari,1,6.0,5,0,0,1,0,4.3,0.28,-0.7,-0.11,33,88,37.5,166,17,42.2,36.4,45,40.0,33.6,73,5,6.8,10,1.67,17.6
vs Carrarese,1,6.0,8,2,0,2,0,9.2,0.31,1.2,0.2,37,109,33.9,171,20,53.2,40.4,46,39.1,31.9,97,6,6.2,5,0.83,12.8
vs Catanzaro,1,6.0,6,0,1,2,0,5.7,0.29,-0.3,-0.04,33,89,37.1,134,26,41.0,36.4,53,64.2,44.7,90,4,4.4,0,0.0,8.9
vs Cesena,1,6.0,10,1,1,2,0,10.2,0.45,0.2,0.03,18,66,27.3,164,19,28.0,31.0,45,44.4,36.8,83,4,4.8,4,0.67,11.2
vs Empoli,1,6.0,8,0,0,3,0,7.5,0.33,-0.5,-0.08,34,107,31.8,194,15,49.5,39.1,30,36.7,35.0,85,4,4.7,12,2.0,16.0
vs Frosinone,1,6.0,13,1,0,3,0,10.9,0.31,-2.1,-0.35,20,54,37.0,114,15,33.3,31.2,51,31.4,30.4,68,5,7.4,3,0.5,11.1
vs Juve Stabia,1,6.0,8,1,0,4,0,9.0,0.39,1.0,0.17,34,90,37.8,191,29,34.6,33.4,40,60.0,41.9,91,8,8.8,8,1.33,13.1
vs Mantova,1,6.0,5,2,0,0,0,8.5,0.22,3.5,0.58,35,98,35.7,187,19,42.8,39.6,37,48.6,38.1,85,5,5.9,8,1.33,13.3
vs Modena,1,6.0,11,3,0,3,1,9.8,0.28,-0.2,-0.03,35,86,40.7,184,18,36.4,34.0,59,32.2,29.3,109,4,3.7,5,0.83,14.7
vs Monza,1,6.0,5,0,0,2,0,5.2,0.38,0.2,0.03,30,81,37.0,157,23,38.2,34.5,57,36.8,31.4,106,6,5.7,5,0.83,14.0
vs Padova,1,6.0,6,1,0,1,0,5.6,0.25,-0.4,-0.06,20,58,34.5,154,19,32.5,34.1,46,17.4,23.3,88,4,4.5,6,1.0,14.8
vs Palermo,2,6.0,7,0,0,1,0,10.2,0.34,3.2,0.54,20,81,24.7,158,34,42.4,38.2,48,29.2,27.5,113,5,4.4,1,0.17,8.4
vs Pescara,1,6.0,10,0,0,0,1,8.4,0.35,-0.6,-0.11,38,109,34.9,191,20,46.1,36.7,43,48.8,37.3,68,5,7.4,3,0.5,14.3
vs Reggiana,1,6.0,8,1,0,2,0,4.4,0.19,-3.6,-0.6,20,64,31.3,136,25,39.7,34.2,29,34.5,30.8,90,9,10.0,7,1.17,13.6
vs Sampdoria,2,6.0,3,0,0,0,0,5.0,0.22,2.0,0.33,37,105,35.2,183,27,41.0,35.0,51,58.8,42.2,81,6,7.4,3,0.5,11.1
vs Spezia,2,6.0,3,1,0,1,0,4.8,0.25,1.8,0.29,24,66,36.4,166,25,33.1,33.3,39,28.2,31.4,95,7,7.4,4,0.67,12.4
vs Südtirol,1,6.0,10,1,0,0,0,10.8,0.37,0.8,0.14,33,103,32.0,188,32,37.8,34.1,58,55.2,40.2,103,5,4.9,9,1.5,16.0
vs Venezia,1,6.0,7,3,0,1,0,8.5,0.27,1.5,0.26,30,105,28.6,161,15,56.5,42.3,40,35.0,30.3,59,1,1.7,8,1.33,15.7
vs Virtus Entella,2,6.0,6,0,0,0,0,7.1,0.35,1.1,0.18,20,52,38.5,140,24,25.0,29.6,48,35.4,31.9,104,7,6.7,1,0.17,9.2
