Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Avellino,1,6.0,9,1,0,2,0,7.1,0.3,-1.9,-0.31,34,103,33.0,138,14,53.6,37.1,57,50.9,37.8,142,9,6.3,2,0.33,9.2
Bari,1,6.0,11,2,0,1,0,11.3,0.28,0.3,0.06,19,58,32.8,169,30,29.0,29.1,53,17.0,19.3,94,3,3.2,6,1.0,13.6
Carrarese,1,6.0,7,0,0,1,1,4.2,0.35,-1.8,-0.3,29,65,44.6,175,19,34.9,33.7,39,10.3,23.2,83,5,6.0,5,0.83,15.7
Catanzaro,1,6.0,6,1,0,2,0,6.6,0.37,0.6,0.11,19,63,30.2,181,25,32.6,30.8,46,8.7,18.5,78,1,1.3,10,1.67,19.4
Cesena,1,6.0,8,1,0,1,0,7.1,0.36,-0.9,-0.15,17,87,19.5,118,17,53.4,38.3,50,48.0,37.3,72,5,6.9,1,0.17,10.3
Empoli,1,6.0,12,2,0,2,0,11.6,0.3,-0.4,-0.07,29,90,32.2,183,17,44.3,34.5,39,23.1,24.4,73,4,5.5,4,0.67,14.6
Frosinone,1,6.0,4,1,0,0,0,6.8,0.25,2.8,0.46,28,119,23.5,171,37,57.3,39.9,53,39.6,32.0,120,13,10.8,5,0.83,10.5
Juve Stabia,1,6.0,5,0,0,1,0,5.2,0.3,0.2,0.03,29,88,33.0,208,20,33.7,32.5,39,46.2,41.2,105,9,8.6,5,0.83,11.0
Mantova,1,6.0,13,0,0,5,2,10.3,0.36,-0.7,-0.12,16,40,40.0,178,26,17.4,23.6,47,19.1,21.8,92,5,5.4,4,0.67,15.4
Modena,1,6.0,3,1,0,0,0,4.8,0.25,1.8,0.31,55,118,46.6,192,20,51.0,40.4,32,62.5,46.8,51,5,9.8,3,0.5,12.5
Monza,1,6.0,5,0,0,1,0,6.3,0.27,1.3,0.22,31,76,40.8,174,22,37.9,33.4,33,30.3,29.5,65,6,9.2,18,3.0,19.3
Padova,1,6.0,7,0,0,2,0,7.1,0.32,0.1,0.02,25,79,31.6,140,22,45.0,35.7,46,34.8,32.5,98,10,10.2,4,0.67,10.5
Palermo,2,6.0,2,0,0,0,0,2.6,0.18,0.6,0.09,39,99,39.4,139,17,56.8,40.3,45,44.4,37.3,78,2,2.6,3,0.5,11.9
Pescara,1,6.0,10,3,0,1,0,13.5,0.34,3.5,0.58,22,68,32.4,169,33,36.7,31.6,39,15.4,20.2,85,5,5.9,11,1.83,17.6
Reggiana,1,6.0,9,0,1,1,0,10.6,0.32,1.6,0.26,21,85,24.7,131,32,34.4,32.0,61,65.6,44.1,106,4,3.8,3,0.5,10.2
Sampdoria,2,6.0,9,0,1,1,0,9.0,0.41,0.0,0.01,29,78,37.2,112,16,42.0,32.9,49,63.3,44.9,61,0,0.0,1,0.17,7.8
Spezia,2,6.0,9,2,0,2,0,8.5,0.29,-0.5,-0.08,40,115,34.8,204,22,45.6,38.6,40,55.0,42.1,76,9,11.8,5,0.83,11.4
Südtirol,1,6.0,8,1,0,2,0,7.2,0.32,-0.8,-0.14,39,100,39.0,79,12,69.6,46.0,49,91.8,60.1,78,6,7.7,3,0.5,10.9
Venezia,1,6.0,5,0,0,1,0,6.1,0.32,1.1,0.18,30,82,36.6,265,27,27.2,29.1,42,23.8,22.5,88,4,4.5,10,1.67,16.1
Virtus Entella,2,6.0,8,2,0,2,0,7.1,0.3,-0.9,-0.15,22,52,42.3,126,14,25.4,31.2,36,55.6,41.6,99,5,5.1,8,1.33,10.0
