Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Bari,30,38.0,588,340,292,206,90,242,506,47.8,264,415,157,258,269,857,983,9
vs Brescia,26,38.0,547,353,257,219,71,261,467,55.9,206,365,142,223,270,817,1094,12
vs Carrarese,33,38.0,607,383,266,245,96,319,604,52.8,285,471,131,340,272,879,915,13
vs Catanzaro,28,38.0,462,274,246,156,60,197,419,47.0,222,326,114,212,308,770,961,13
vs Cesena,27,38.0,607,361,312,216,79,287,543,52.9,256,430,121,309,276,883,894,10
vs Cittadella,33,38.0,559,342,293,181,85,267,494,54.0,227,379,106,273,256,815,1210,11
vs Cosenza,31,38.0,545,345,286,199,60,288,538,53.5,250,406,150,256,239,784,1161,9
vs Cremonese,29,38.0,546,347,301,188,57,271,505,53.7,234,430,149,281,281,827,1075,19
vs Frosinone,38,38.0,561,342,285,198,78,268,517,51.8,249,347,135,212,267,828,857,13
vs Juve Stabia,29,38.0,577,340,278,240,59,269,517,52.0,248,370,114,256,304,881,1042,7
vs Mantova,26,38.0,618,366,255,248,115,260,476,54.6,216,455,151,304,328,946,757,7
vs Modena,30,38.0,541,353,237,223,81,224,476,47.1,252,405,118,287,279,820,904,9
vs Palermo,29,38.0,539,331,276,192,71,276,491,56.2,215,398,163,235,233,772,1046,16
vs Pisa,33,38.0,508,305,248,202,58,221,424,52.1,203,354,138,216,265,773,1301,21
vs Reggiana,30,38.0,553,362,261,214,78,266,513,51.9,247,370,120,250,276,829,924,19
vs Salernitana,42,38.0,531,312,266,211,54,221,461,47.9,240,392,139,253,289,820,1054,14
vs Sampdoria,38,38.0,573,361,283,220,70,261,515,50.7,254,436,139,297,303,876,1081,11
vs Sassuolo,34,38.0,575,316,285,221,69,239,519,46.1,280,371,134,237,290,865,915,19
vs Spezia,27,38.0,594,341,311,226,57,262,507,51.7,245,365,141,224,249,843,1322,11
vs Südtirol,32,38.0,448,266,252,143,53,210,394,53.3,184,357,128,229,244,692,1192,11
