Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Bari,30,38.0,596,356,338,192,66,279,514,54.3,235,424,151,273,269,865,1031,14
Brescia,26,38.0,628,370,316,237,75,299,611,48.9,312,461,165,296,291,919,1040,9
Carrarese,33,38.0,530,310,271,211,48,231,491,47.0,260,408,147,261,256,786,1041,9
Catanzaro,28,38.0,385,229,198,136,51,170,372,45.7,202,320,142,178,296,681,929,18
Cesena,27,38.0,537,321,269,185,83,239,488,49.0,249,357,101,256,268,805,959,4
Cittadella,33,38.0,632,408,302,250,80,319,641,49.8,322,439,129,310,303,935,1175,14
Cosenza,31,38.0,538,330,280,200,58,245,498,49.2,253,425,144,281,276,814,1056,13
Cremonese,29,38.0,535,338,243,213,79,214,416,51.4,202,335,106,229,285,820,904,22
Frosinone,38,38.0,535,339,240,219,76,270,480,56.3,210,331,95,236,234,769,960,14
Juve Stabia,29,38.0,592,361,309,218,65,278,507,54.8,229,408,129,279,270,862,1170,12
Mantova,26,38.0,451,256,239,161,51,222,453,49.0,231,380,128,252,220,671,940,14
Modena,30,38.0,600,367,316,211,73,268,469,57.1,201,369,142,227,295,895,1128,5
Palermo,29,38.0,486,294,261,153,72,206,400,51.5,194,369,137,232,227,713,984,21
Pisa,33,38.0,632,363,325,234,73,282,514,54.9,232,387,107,280,292,924,1170,15
Reggiana,30,38.0,652,397,315,250,87,295,559,52.8,264,417,147,270,303,955,1166,11
Salernitana,42,38.0,596,347,256,259,81,284,530,53.6,246,387,124,263,267,863,904,12
Sampdoria,38,38.0,602,363,273,234,95,301,550,54.7,249,412,156,256,272,874,1032,18
Sassuolo,34,38.0,501,320,245,182,74,213,419,50.8,206,379,134,245,291,792,986,11
Spezia,27,38.0,560,357,262,218,80,270,527,51.2,257,435,137,298,287,847,920,7
Südtirol,32,38.0,491,314,232,185,74,224,447,50.1,223,399,169,230,296,787,1193,11
