Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Avellino,24,6.0,153,25.5,117,13,5,10,6,2,15,2.5,8,2,1,2,2,0
vs Bari,24,6.0,173,28.83,129,17,6,12,8,1,18,3.0,13,2,0,1,2,0
vs Carrarese,24,6.0,110,18.33,75,12,4,7,10,2,11,1.83,10,0,0,1,0,0
vs Catanzaro,22,6.0,95,15.83,64,12,8,6,3,2,12,2.0,7,2,1,0,2,0
vs Cesena,21,6.0,135,22.5,104,9,6,5,10,1,13,2.17,9,1,0,1,2,0
vs Empoli,21,6.0,142,23.67,93,18,9,8,10,4,20,3.33,12,2,2,1,3,0
vs Frosinone,23,6.0,169,28.17,134,11,4,11,9,0,6,1.0,3,0,0,2,1,0
vs Juve Stabia,21,6.0,97,16.17,70,13,4,2,4,4,9,1.5,5,3,0,0,1,0
vs Mantova,22,6.0,164,27.33,107,21,11,14,6,5,16,2.67,6,3,2,4,1,0
vs Modena,20,6.0,94,15.67,64,8,6,5,8,3,6,1.0,4,0,1,0,1,0
vs Monza,22,6.0,128,21.33,87,13,4,9,10,5,7,1.17,1,2,0,3,1,0
vs Padova,20,6.0,150,25.0,113,17,5,8,6,1,12,2.0,8,1,0,2,0,1
vs Palermo,22,6.0,119,19.83,92,7,6,9,5,0,3,0.5,2,0,0,1,0,0
vs Pescara,26,6.0,143,23.83,106,12,7,11,6,1,18,3.0,14,1,1,0,2,0
vs Reggiana,24,6.0,164,27.33,105,24,9,20,5,1,16,2.67,14,1,0,0,1,0
vs Sampdoria,23,6.0,119,19.83,83,9,8,10,7,2,16,2.67,11,2,0,2,1,0
vs Spezia,22,6.0,115,19.17,85,9,8,4,8,1,18,3.0,10,2,2,1,3,0
vs Südtirol,22,6.0,133,22.17,90,16,9,10,4,4,11,1.83,3,3,2,2,0,1
vs Venezia,23,6.0,113,18.83,90,9,2,9,3,0,8,1.33,7,0,0,1,0,0
vs Virtus Entella,21,6.0,125,20.83,91,9,6,8,11,0,12,2.0,7,1,0,2,2,0
