Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Avellino,24,6.0,104,17.33,86,3,5,6,4,0,16,2.67,13,0,1,2,0,0
Bari,24,6.0,117,19.5,78,10,5,14,7,3,7,1.17,5,0,0,2,0,0
Carrarese,24,6.0,142,23.67,102,11,9,11,7,2,15,2.5,8,1,2,1,3,0
Catanzaro,22,6.0,148,24.67,109,13,10,4,10,2,8,1.33,5,2,0,0,1,0
Cesena,21,6.0,134,22.33,100,8,4,15,7,0,17,2.83,10,1,1,3,2,0
Empoli,21,6.0,106,17.67,75,11,7,6,4,3,14,2.33,8,3,0,2,0,1
Frosinone,23,6.0,165,27.5,116,16,15,15,2,1,21,3.5,12,2,3,3,1,0
Juve Stabia,21,6.0,117,19.5,86,8,7,11,4,1,13,2.17,5,3,1,2,2,0
Mantova,22,6.0,172,28.67,136,10,6,9,9,2,8,1.33,6,0,0,1,1,0
Modena,20,6.0,165,27.5,124,18,3,8,9,3,16,2.67,10,3,0,1,2,0
Monza,22,6.0,128,21.33,100,9,3,7,6,3,7,1.17,3,2,0,2,0,0
Padova,20,6.0,113,18.83,84,6,5,5,9,4,12,2.0,8,1,0,1,2,0
Palermo,22,6.0,158,26.33,107,27,7,8,7,2,13,2.17,10,2,1,0,0,0
Pescara,26,6.0,130,21.67,96,19,4,3,6,2,16,2.67,12,1,3,0,0,0
Reggiana,24,6.0,123,20.5,97,9,4,6,5,2,14,2.33,10,1,0,2,1,0
Sampdoria,23,6.0,124,20.67,82,10,8,12,7,5,5,0.83,4,0,0,0,0,1
Spezia,22,6.0,77,12.83,52,9,4,2,10,0,5,0.83,2,1,0,0,2,0
Südtirol,22,6.0,162,27.0,96,27,10,18,11,0,19,3.17,14,2,0,1,2,0
Venezia,23,6.0,135,22.5,102,11,6,9,6,1,13,2.17,9,0,0,1,3,0
Virtus Entella,21,6.0,121,20.17,71,24,5,9,9,3,8,1.33,0,3,0,2,3,0
