Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Avellino,1,6,6,540,6.0,9,1.5,21,12,61.9,3,2,1,1,16.7,1,1,0,0,0.0
Bari,1,6,6,540,6.0,11,1.83,34,23,73.5,0,3,3,0,0.0,2,2,0,0,0.0
Carrarese,1,6,6,540,6.0,7,1.17,12,6,41.7,1,4,1,3,50.0,0,0,0,0,
Catanzaro,1,6,6,540,6.0,6,1.0,16,10,68.8,0,6,0,2,33.3,1,1,0,0,0.0
Cesena,1,6,6,540,6.0,8,1.33,18,10,61.1,3,2,1,0,0.0,1,1,0,0,0.0
Empoli,1,6,6,540,6.0,12,2.0,34,22,70.6,1,3,2,0,0.0,2,2,0,0,0.0
Frosinone,1,6,6,540,6.0,4,0.67,24,20,87.5,4,2,0,3,50.0,3,1,0,2,0.0
Juve Stabia,1,6,6,540,6.0,5,0.83,17,12,70.6,2,4,0,2,33.3,0,0,0,0,
Mantova,1,6,6,540,6.0,13,2.17,29,18,55.2,1,0,5,0,0.0,1,0,0,1,
Modena,1,6,6,540,6.0,3,0.5,16,13,87.5,4,2,0,3,50.0,1,1,0,0,0.0
Monza,1,6,6,540,6.0,5,0.83,20,14,75.0,2,2,2,2,33.3,1,0,1,0,100.0
Padova,1,6,6,540,6.0,7,1.17,22,15,68.2,2,2,2,2,33.3,0,0,0,0,
Palermo,2,6,6,540,6.0,2,0.33,14,12,85.7,3,3,0,4,66.7,0,0,0,0,
Pescara,1,6,6,540,6.0,10,1.67,33,23,78.8,1,2,3,1,16.7,3,3,0,0,0.0
Reggiana,1,6,6,540,6.0,9,1.5,35,26,74.3,1,3,2,1,16.7,0,0,0,0,
Sampdoria,2,6,6,540,6.0,9,1.5,22,13,59.1,0,2,4,1,16.7,0,0,0,0,
Spezia,2,6,6,540,6.0,9,1.5,23,14,69.6,0,3,3,1,16.7,2,2,0,0,0.0
Südtirol,1,6,6,540,6.0,8,1.33,20,12,65.0,2,3,1,0,0.0,1,1,0,0,0.0
Venezia,1,6,6,540,6.0,5,0.83,20,15,75.0,2,3,1,3,50.0,0,0,0,0,
Virtus Entella,2,6,6,540,6.0,8,1.33,21,13,71.4,1,3,2,1,16.7,2,2,0,0,0.0
