Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Bari,30,38.0,101,1,0,605,521,57,796,269,356,4,6,0,1418,734,682,51.8
Brescia,26,38.0,91,2,0,533,547,54,792,291,370,2,9,1,1463,747,728,50.6
Carrarese,33,38.0,90,5,1,548,493,55,685,256,310,3,8,0,1462,710,685,50.9
Catanzaro,28,38.0,79,4,2,460,577,44,718,296,229,4,5,2,1264,496,442,52.9
Cesena,27,38.0,101,5,2,575,536,83,640,268,321,4,4,4,1408,464,549,45.8
Cittadella,33,38.0,111,2,2,692,518,83,801,303,408,0,8,5,1541,780,851,47.8
Cosenza,31,38.0,115,10,4,575,532,32,760,276,330,2,4,4,1350,664,699,48.7
Cremonese,29,38.0,102,4,4,651,513,57,902,285,338,1,6,2,1523,681,627,52.1
Frosinone,38,38.0,85,6,1,534,625,42,665,234,339,4,7,0,1375,565,590,48.9
Juve Stabia,29,38.0,96,5,1,692,606,71,717,270,361,1,7,0,1309,723,892,44.8
Mantova,26,38.0,88,4,1,519,783,52,612,220,256,3,2,1,1365,480,488,49.6
Modena,30,38.0,94,8,0,480,558,58,579,295,367,5,4,2,1419,647,594,52.1
Palermo,29,38.0,85,1,0,553,539,31,808,227,294,5,2,1,1366,655,589,52.7
Pisa,33,38.0,76,3,0,625,424,39,784,292,363,4,2,1,1399,990,781,55.9
Reggiana,30,38.0,110,4,0,595,574,86,592,303,397,2,2,4,1381,654,761,46.2
Salernitana,42,38.0,86,5,2,558,571,62,724,267,347,4,4,0,1375,589,669,46.8
Sampdoria,38,38.0,107,8,5,619,520,72,724,272,363,2,3,0,1374,669,756,46.9
Sassuolo,34,38.0,71,2,0,475,467,53,576,291,320,6,2,1,1481,571,600,48.8
Spezia,27,38.0,99,5,3,645,633,40,1010,287,357,4,1,3,1456,900,788,53.3
Südtirol,32,38.0,93,3,2,655,467,60,750,296,314,3,5,1,1344,879,826,51.6
